game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526389,0.0,1.0,Anaheim Ducks,Winnipeg Jets,28.0,55.0,56.0,41.0,67.0,50.0
/zapas/2526412,0.0,0.0,Anaheim Ducks,Los Angeles Kings,27.0,54.0,57.0,29.0,58.0,50.0
/zapas/2526420,0.0,0.0,Anaheim Ducks,Chicago Blackhawks,28.0,55.0,57.0,28.0,52.0,55.0
/zapas/2526433,1.0,0.0,Anaheim Ducks,St. Louis Blues,25.0,55.0,62.0,38.0,69.0,54.0
/zapas/2526445,0.0,0.0,Anaheim Ducks,Columbus Blue Jackets,28.0,57.0,61.0,31.0,56.0,49.0
/zapas/2526458,0.0,0.0,Anaheim Ducks,Nashville Predators,28.0,58.0,62.0,38.0,65.0,57.0
/zapas/2526478,0.0,0.0,Anaheim Ducks,Vegas Golden Knights,26.0,54.0,63.0,31.0,70.0,67.0
/zapas/2526483,1.0,1.0,Anaheim Ducks,Ottawa Senators,24.0,51.0,65.0,21.0,54.0,76.0
/zapas/2526497,0.0,1.0,Anaheim Ducks,Minnesota Wild,27.0,51.0,57.0,32.0,58.0,59.0
/zapas/2526519,1.0,1.0,Anaheim Ducks,Carolina Hurricanes,25.0,49.0,59.0,25.0,54.0,64.0
/zapas/2526537,1.0,0.0,Anaheim Ducks,St. Louis Blues,26.0,48.0,58.0,34.0,64.0,53.0
/zapas/2526556,0.0,0.0,Anaheim Ducks,Washington Capitals,29.0,50.0,56.0,40.0,65.0,52.0
/zapas/2526566,0.0,0.0,Anaheim Ducks,New Jersey Devils,30.0,49.0,54.0,30.0,55.0,59.0
/zapas/2526573,0.0,0.0,Anaheim Ducks,New York Rangers,29.0,51.0,57.0,38.0,68.0,49.0
/zapas/2526585,1.0,0.0,Anaheim Ducks,New York Islanders,28.0,49.0,57.0,28.0,67.0,74.0
/zapas/2526604,1.0,0.0,Anaheim Ducks,Pittsburgh Penguins,27.0,50.0,60.0,27.0,62.0,56.0
/zapas/2526622,0.0,1.0,Anaheim Ducks,Vegas Golden Knights,30.0,53.0,58.0,39.0,69.0,59.0
/zapas/2526640,1.0,1.0,Anaheim Ducks,Calgary Flames,27.0,50.0,60.0,26.0,52.0,59.0
/zapas/2526648,1.0,1.0,Anaheim Ducks,Arizona Coyotes,27.0,49.0,59.0,20.0,46.0,62.0
/zapas/2526667,1.0,0.0,Anaheim Ducks,Vancouver Canucks,28.0,51.0,59.0,23.0,58.0,74.0
/zapas/2526679,0.0,0.0,Anaheim Ducks,Edmonton Oilers,31.0,54.0,55.0,30.0,64.0,67.0
/zapas/2526694,0.0,0.0,Anaheim Ducks,Calgary Flames,32.0,54.0,53.0,26.0,50.0,54.0
/zapas/2526731,1.0,0.0,Anaheim Ducks,Los Angeles Kings,31.0,55.0,54.0,35.0,61.0,47.0
/zapas/2526738,0.0,0.0,Anaheim Ducks,Colorado Avalanche,34.0,56.0,49.0,34.0,66.0,54.0
/zapas/2526748,1.0,1.0,Anaheim Ducks,Pittsburgh Penguins,31.0,54.0,50.0,29.0,61.0,51.0
/zapas/2526761,1.0,1.0,Anaheim Ducks,Los Angeles Kings,34.0,57.0,49.0,29.0,57.0,53.0
/zapas/2526778,0.0,1.0,Anaheim Ducks,San Jose Sharks,36.0,57.0,47.0,32.0,63.0,63.0
/zapas/2526794,1.0,1.0,Anaheim Ducks,New York Rangers,35.0,56.0,49.0,26.0,51.0,55.0
/zapas/2526813,1.0,1.0,Anaheim Ducks,Winnipeg Jets,35.0,59.0,52.0,37.0,62.0,50.0
/zapas/2526818,1.0,0.0,Anaheim Ducks,Boston Bruins,36.0,61.0,52.0,46.0,78.0,41.0
/zapas/2526835,0.0,0.0,Anaheim Ducks,Ottawa Senators,36.0,61.0,51.0,19.0,48.0,70.0
/zapas/2526846,0.0,0.0,Anaheim Ducks,Montreal Canadiens,34.0,59.0,52.0,21.0,45.0,62.0
/zapas/2526862,0.0,0.0,Anaheim Ducks,Toronto Maple Leafs,33.0,59.0,54.0,31.0,63.0,53.0
/zapas/2526866,1.0,0.0,Anaheim Ducks,Buffalo Sabres,33.0,60.0,56.0,19.0,49.0,65.0
/zapas/2526896,1.0,1.0,Anaheim Ducks,Edmonton Oilers,35.0,63.0,55.0,29.0,53.0,63.0
/zapas/2526914,0.0,1.0,Anaheim Ducks,San Jose Sharks,36.0,61.0,53.0,29.0,64.0,68.0
/zapas/2526924,0.0,0.0,Anaheim Ducks,Detroit Red Wings,34.0,59.0,56.0,25.0,52.0,55.0
/zapas/2526940,1.0,0.0,Anaheim Ducks,Chicago Blackhawks,34.0,59.0,54.0,21.0,51.0,64.0
/zapas/2526949,1.0,0.0,Anaheim Ducks,Minnesota Wild,34.0,60.0,55.0,38.0,64.0,55.0
/zapas/2526971,1.0,0.0,Anaheim Ducks,Vegas Golden Knights,33.0,58.0,55.0,37.0,67.0,52.0
/zapas/2526982,1.0,1.0,Anaheim Ducks,Dallas Stars,33.0,55.0,55.0,38.0,63.0,45.0
/zapas/2527010,0.0,0.0,Anaheim Ducks,Arizona Coyotes,35.0,56.0,53.0,26.0,53.0,61.0
/zapas/2527015,0.0,1.0,Anaheim Ducks,Edmonton Oilers,35.0,54.0,52.0,22.0,55.0,67.0
/zapas/2527053,1.0,1.0,Anaheim Ducks,Columbus Blue Jackets,33.0,55.0,56.0,22.0,49.0,59.0
/zapas/2527064,1.0,1.0,Anaheim Ducks,Chicago Blackhawks,36.0,58.0,55.0,19.0,49.0,66.0
