game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526365,1.0,0.0,Arizona Coyotes,Toronto Maple Leafs,11.0,49.0,78.0,34.0,72.0,61.0
/zapas/2526399,1.0,1.0,Arizona Coyotes,Los Angeles Kings,14.0,50.0,73.0,29.0,59.0,51.0
/zapas/2526408,0.0,1.0,Arizona Coyotes,Vegas Golden Knights,16.0,51.0,69.0,36.0,75.0,63.0
/zapas/2526429,0.0,0.0,Arizona Coyotes,Edmonton Oilers,16.0,52.0,70.0,23.0,56.0,65.0
/zapas/2526440,0.0,0.0,Arizona Coyotes,Calgary Flames,17.0,50.0,68.0,27.0,58.0,67.0
/zapas/2526457,1.0,1.0,Arizona Coyotes,New Jersey Devils,17.0,48.0,67.0,32.0,59.0,62.0
/zapas/2526464,0.0,0.0,Arizona Coyotes,Vegas Golden Knights,20.0,50.0,62.0,31.0,72.0,69.0
/zapas/2526484,0.0,0.0,Arizona Coyotes,Boston Bruins,21.0,50.0,60.0,33.0,55.0,55.0
/zapas/2526505,0.0,0.0,Arizona Coyotes,Columbus Blue Jackets,21.0,48.0,62.0,31.0,55.0,51.0
/zapas/2526510,0.0,0.0,Arizona Coyotes,Chicago Blackhawks,19.0,44.0,60.0,25.0,55.0,59.0
/zapas/2526543,0.0,1.0,Arizona Coyotes,Tampa Bay Lightning,19.0,42.0,58.0,40.0,72.0,49.0
/zapas/2526557,0.0,1.0,Arizona Coyotes,Pittsburgh Penguins,19.0,39.0,57.0,26.0,59.0,56.0
/zapas/2526577,0.0,1.0,Arizona Coyotes,Florida Panthers,17.0,39.0,60.0,24.0,48.0,59.0
/zapas/2526596,1.0,1.0,Arizona Coyotes,Washington Capitals,16.0,39.0,60.0,39.0,66.0,53.0
/zapas/2526608,0.0,1.0,Arizona Coyotes,Colorado Avalanche,18.0,41.0,59.0,25.0,58.0,64.0
/zapas/2526621,1.0,0.0,Arizona Coyotes,Colorado Avalanche,17.0,41.0,62.0,27.0,61.0,62.0
/zapas/2526626,0.0,1.0,Arizona Coyotes,Toronto Maple Leafs,20.0,43.0,59.0,34.0,57.0,44.0
/zapas/2526648,0.0,0.0,Arizona Coyotes,Anaheim Ducks,20.0,46.0,62.0,27.0,49.0,59.0
/zapas/2526678,1.0,1.0,Arizona Coyotes,Nashville Predators,17.0,43.0,63.0,37.0,63.0,50.0
/zapas/2526693,0.0,1.0,Arizona Coyotes,New York Rangers,17.0,43.0,63.0,34.0,62.0,47.0
/zapas/2526723,0.0,1.0,Arizona Coyotes,Edmonton Oilers,15.0,40.0,64.0,26.0,55.0,64.0
/zapas/2526732,0.0,0.0,Arizona Coyotes,San Jose Sharks,15.0,41.0,65.0,32.0,60.0,61.0
/zapas/2526746,0.0,1.0,Arizona Coyotes,San Jose Sharks,14.0,43.0,69.0,33.0,62.0,62.0
/zapas/2526756,0.0,0.0,Arizona Coyotes,Nashville Predators,15.0,43.0,68.0,38.0,59.0,48.0
/zapas/2526771,1.0,0.0,Arizona Coyotes,St. Louis Blues,15.0,43.0,68.0,28.0,48.0,49.0
/zapas/2526784,1.0,1.0,Arizona Coyotes,New York Islanders,18.0,48.0,67.0,21.0,64.0,80.0
/zapas/2526810,0.0,1.0,Arizona Coyotes,Columbus Blue Jackets,17.0,46.0,69.0,25.0,49.0,66.0
/zapas/2526840,0.0,1.0,Arizona Coyotes,Dallas Stars,16.0,45.0,68.0,34.0,64.0,47.0
/zapas/2526858,0.0,0.0,Arizona Coyotes,Los Angeles Kings,16.0,45.0,66.0,21.0,45.0,58.0
/zapas/2526874,0.0,0.0,Arizona Coyotes,Winnipeg Jets,16.0,45.0,71.0,41.0,64.0,46.0
/zapas/2526886,1.0,0.0,Arizona Coyotes,Minnesota Wild,16.0,47.0,72.0,37.0,65.0,57.0
/zapas/2526903,0.0,1.0,Arizona Coyotes,Philadelphia Flyers,18.0,50.0,71.0,31.0,61.0,61.0
/zapas/2526917,1.0,1.0,Arizona Coyotes,Chicago Blackhawks,19.0,51.0,71.0,23.0,54.0,61.0
/zapas/2526929,1.0,0.0,Arizona Coyotes,San Jose Sharks,22.0,55.0,69.0,31.0,67.0,64.0
/zapas/2526941,1.0,1.0,Arizona Coyotes,Montreal Canadiens,23.0,54.0,68.0,20.0,46.0,60.0
/zapas/2526951,1.0,1.0,Arizona Coyotes,Edmonton Oilers,26.0,57.0,64.0,17.0,50.0,75.0
/zapas/2526993,0.0,1.0,Arizona Coyotes,Calgary Flames,26.0,55.0,63.0,30.0,57.0,63.0
/zapas/2527010,1.0,1.0,Arizona Coyotes,Anaheim Ducks,26.0,53.0,61.0,35.0,56.0,53.0
/zapas/2527017,0.0,1.0,Arizona Coyotes,Vancouver Canucks,29.0,53.0,56.0,20.0,56.0,65.0
/zapas/2527042,1.0,1.0,Arizona Coyotes,Minnesota Wild,27.0,51.0,57.0,43.0,71.0,51.0
/zapas/2527059,1.0,1.0,Arizona Coyotes,Ottawa Senators,29.0,55.0,58.0,18.0,55.0,70.0
/zapas/2527072,0.0,0.0,Arizona Coyotes,Edmonton Oilers,32.0,55.0,55.0,21.0,60.0,71.0
/zapas/2527085,1.0,0.0,Arizona Coyotes,Vancouver Canucks,32.0,53.0,53.0,22.0,59.0,65.0
/zapas/2527106,0.0,0.0,Arizona Coyotes,Colorado Avalanche,34.0,53.0,51.0,27.0,54.0,64.0
/zapas/2527116,1.0,1.0,Arizona Coyotes,Vancouver Canucks,33.0,53.0,53.0,19.0,56.0,69.0
/zapas/2527131,1.0,1.0,Arizona Coyotes,Los Angeles Kings,33.0,49.0,51.0,35.0,61.0,52.0
/zapas/2527144,0.0,1.0,Arizona Coyotes,Nashville Predators,33.0,50.0,52.0,43.0,74.0,49.0
/zapas/2527160,0.0,1.0,Arizona Coyotes,Minnesota Wild,33.0,51.0,53.0,37.0,69.0,61.0
/zapas/2527174,1.0,1.0,Arizona Coyotes,Calgary Flames,33.0,51.0,52.0,26.0,52.0,66.0
/zapas/2527186,1.0,0.0,Arizona Coyotes,Buffalo Sabres,36.0,56.0,48.0,27.0,55.0,65.0
/zapas/2527192,0.0,0.0,Arizona Coyotes,Carolina Hurricanes,39.0,57.0,45.0,24.0,54.0,70.0
/zapas/2527210,0.0,0.0,Arizona Coyotes,Florida Panthers,37.0,58.0,48.0,41.0,72.0,55.0
/zapas/2527227,1.0,0.0,Arizona Coyotes,Tampa Bay Lightning,36.0,57.0,48.0,34.0,74.0,68.0
/zapas/2527242,1.0,0.0,Arizona Coyotes,Vegas Golden Knights,36.0,55.0,48.0,35.0,62.0,51.0
/zapas/2527253,0.0,0.0,Arizona Coyotes,Los Angeles Kings,36.0,56.0,49.0,36.0,61.0,47.0
/zapas/2527269,1.0,1.0,Arizona Coyotes,St. Louis Blues,33.0,53.0,51.0,26.0,49.0,59.0
/zapas/2527289,1.0,0.0,Arizona Coyotes,Calgary Flames,33.0,58.0,51.0,20.0,41.0,68.0
/zapas/2527304,0.0,0.0,Arizona Coyotes,Vancouver Canucks,36.0,60.0,47.0,22.0,51.0,64.0
/zapas/2527320,0.0,1.0,Arizona Coyotes,Anaheim Ducks,34.0,61.0,51.0,38.0,63.0,46.0
/zapas/2647210,0.0,0.0,Arizona Coyotes,Dallas Stars,34.0,60.0,51.0,23.0,51.0,61.0
/zapas/2647224,0.0,1.0,Arizona Coyotes,Anaheim Ducks,31.0,55.0,51.0,41.0,69.0,46.0
/zapas/2647242,1.0,0.0,Arizona Coyotes,Anaheim Ducks,28.0,53.0,51.0,42.0,64.0,40.0
/zapas/2647267,0.0,1.0,Arizona Coyotes,Buffalo Sabres,29.0,53.0,49.0,18.0,48.0,79.0
/zapas/2647281,0.0,0.0,Arizona Coyotes,Minnesota Wild,26.0,51.0,51.0,29.0,55.0,58.0
/zapas/2647293,1.0,0.0,Arizona Coyotes,Chicago Blackhawks,26.0,50.0,48.0,22.0,61.0,81.0
/zapas/2647302,0.0,0.0,Arizona Coyotes,Winnipeg Jets,26.0,53.0,49.0,41.0,67.0,53.0
/zapas/2647321,1.0,0.0,Arizona Coyotes,Columbus Blue Jackets,24.0,52.0,51.0,38.0,77.0,63.0
/zapas/2647341,1.0,1.0,Arizona Coyotes,Vancouver Canucks,27.0,54.0,49.0,33.0,62.0,59.0
