game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526388,1.0,1.0,Boston Bruins,Pittsburgh Penguins,30.0,54.0,59.0,28.0,52.0,65.0
/zapas/2526415,0.0,1.0,Boston Bruins,Edmonton Oilers,30.0,54.0,59.0,20.0,53.0,69.0
/zapas/2526431,1.0,1.0,Boston Bruins,Tampa Bay Lightning,30.0,56.0,59.0,42.0,70.0,47.0
/zapas/2526450,1.0,0.0,Boston Bruins,Philadelphia Flyers,33.0,56.0,55.0,22.0,49.0,63.0
/zapas/2526468,0.0,0.0,Boston Bruins,Nashville Predators,33.0,53.0,53.0,37.0,64.0,58.0
/zapas/2526484,1.0,1.0,Boston Bruins,Arizona Coyotes,33.0,55.0,55.0,21.0,50.0,60.0
/zapas/2526499,1.0,1.0,Boston Bruins,New York Islanders,33.0,55.0,53.0,35.0,80.0,72.0
/zapas/2526531,1.0,0.0,Boston Bruins,Detroit Red Wings,35.0,54.0,49.0,25.0,54.0,69.0
/zapas/2526533,0.0,1.0,Boston Bruins,Washington Capitals,34.0,55.0,50.0,40.0,64.0,52.0
/zapas/2526551,0.0,1.0,Boston Bruins,New York Rangers,33.0,57.0,53.0,39.0,71.0,51.0
/zapas/2526565,1.0,1.0,Boston Bruins,Columbus Blue Jackets,33.0,56.0,52.0,30.0,51.0,53.0
/zapas/2526571,1.0,0.0,Boston Bruins,Buffalo Sabres,33.0,61.0,53.0,17.0,38.0,63.0
/zapas/2526583,1.0,1.0,Boston Bruins,Winnipeg Jets,36.0,62.0,50.0,37.0,70.0,53.0
/zapas/2526597,1.0,1.0,Boston Bruins,Detroit Red Wings,35.0,59.0,48.0,27.0,57.0,69.0
/zapas/2526612,1.0,1.0,Boston Bruins,Ottawa Senators,38.0,60.0,45.0,17.0,41.0,67.0
/zapas/2526623,0.0,0.0,Boston Bruins,Washington Capitals,40.0,63.0,43.0,36.0,61.0,55.0
/zapas/2526641,1.0,0.0,Boston Bruins,Ottawa Senators,41.0,65.0,43.0,15.0,39.0,70.0
/zapas/2526657,1.0,0.0,Boston Bruins,New York Islanders,44.0,68.0,39.0,24.0,65.0,77.0
/zapas/2526690,1.0,1.0,Boston Bruins,Carolina Hurricanes,44.0,71.0,39.0,30.0,56.0,60.0
/zapas/2526704,0.0,0.0,Boston Bruins,Pittsburgh Penguins,44.0,75.0,39.0,26.0,59.0,53.0
/zapas/2526728,1.0,0.0,Boston Bruins,Montreal Canadiens,43.0,77.0,43.0,30.0,56.0,52.0
/zapas/2526737,0.0,1.0,Boston Bruins,Dallas Stars,42.0,77.0,43.0,31.0,63.0,53.0
/zapas/2526747,1.0,1.0,Boston Bruins,Montreal Canadiens,43.0,77.0,42.0,28.0,58.0,58.0
/zapas/2526749,1.0,0.0,Boston Bruins,New York Islanders,43.0,78.0,41.0,19.0,60.0,82.0
/zapas/2526766,1.0,0.0,Boston Bruins,Montreal Canadiens,43.0,80.0,43.0,25.0,57.0,62.0
/zapas/2526786,1.0,1.0,Boston Bruins,New Jersey Devils,46.0,81.0,39.0,29.0,62.0,60.0
/zapas/2526803,1.0,0.0,Boston Bruins,Ottawa Senators,46.0,78.0,40.0,20.0,48.0,74.0
/zapas/2526818,0.0,1.0,Boston Bruins,Anaheim Ducks,46.0,78.0,41.0,36.0,61.0,52.0
/zapas/2526830,1.0,1.0,Boston Bruins,St. Louis Blues,44.0,76.0,42.0,29.0,47.0,50.0
/zapas/2526849,1.0,1.0,Boston Bruins,Toronto Maple Leafs,47.0,76.0,38.0,31.0,63.0,52.0
/zapas/2526871,1.0,0.0,Boston Bruins,Detroit Red Wings,49.0,78.0,36.0,28.0,51.0,49.0
