game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2891047,0.0,0.0,Columbus Blue Jackets,Tampa Bay Lightning,31.0,56.0,56.0,29.0,53.0,65.0
/zapas/2891048,1.0,0.0,Columbus Blue Jackets,Tampa Bay Lightning,30.0,53.0,55.0,28.0,51.0,64.0
/zapas/2891049,0.0,1.0,Columbus Blue Jackets,Tampa Bay Lightning,32.0,54.0,53.0,28.0,50.0,62.0
/zapas/2891050,0.0,1.0,Columbus Blue Jackets,Tampa Bay Lightning,32.0,55.0,52.0,28.0,50.0,63.0
/zapas/2891051,0.0,0.0,Columbus Blue Jackets,Tampa Bay Lightning,31.0,53.0,50.0,28.0,49.0,63.0
/zapas/2893250,1.0,0.0,Columbus Blue Jackets,Detroit Red Wings,26.0,48.0,53.0,17.0,38.0,68.0
/zapas/2893260,0.0,0.0,Columbus Blue Jackets,Detroit Red Wings,26.0,48.0,54.0,17.0,40.0,68.0
/zapas/2893331,1.0,0.0,Columbus Blue Jackets,Chicago Blackhawks,25.0,48.0,55.0,27.0,61.0,67.0
/zapas/2893344,0.0,0.0,Columbus Blue Jackets,Chicago Blackhawks,28.0,47.0,52.0,25.0,58.0,66.0
/zapas/2893365,0.0,1.0,Columbus Blue Jackets,Dallas Stars,28.0,48.0,52.0,30.0,56.0,54.0
/zapas/2893379,1.0,1.0,Columbus Blue Jackets,Dallas Stars,25.0,49.0,58.0,33.0,59.0,51.0
/zapas/2893422,1.0,0.0,Columbus Blue Jackets,Chicago Blackhawks,28.0,54.0,59.0,27.0,53.0,58.0
/zapas/2893437,0.0,0.0,Columbus Blue Jackets,Chicago Blackhawks,28.0,57.0,64.0,24.0,55.0,62.0
/zapas/2893512,0.0,1.0,Columbus Blue Jackets,Chicago Blackhawks,28.0,59.0,69.0,27.0,58.0,60.0
/zapas/2893526,0.0,1.0,Columbus Blue Jackets,Chicago Blackhawks,28.0,60.0,70.0,29.0,61.0,61.0
/zapas/2893565,1.0,1.0,Columbus Blue Jackets,Detroit Red Wings,25.0,56.0,67.0,18.0,42.0,68.0
/zapas/2893574,1.0,0.0,Columbus Blue Jackets,Dallas Stars,27.0,58.0,65.0,24.0,53.0,56.0
/zapas/2893590,0.0,0.0,Columbus Blue Jackets,Dallas Stars,29.0,59.0,64.0,23.0,51.0,54.0
/zapas/2893646,1.0,1.0,Columbus Blue Jackets,Dallas Stars,24.0,54.0,70.0,22.0,54.0,57.0
/zapas/2893661,0.0,1.0,Columbus Blue Jackets,Dallas Stars,23.0,56.0,72.0,21.0,55.0,60.0
/zapas/2893746,0.0,0.0,Columbus Blue Jackets,Detroit Red Wings,23.0,50.0,65.0,23.0,45.0,67.0
/zapas/2893754,0.0,0.0,Columbus Blue Jackets,Detroit Red Wings,20.0,45.0,63.0,26.0,46.0,65.0
/zapas/2893854,0.0,1.0,Columbus Blue Jackets,Chicago Blackhawks,21.0,45.0,63.0,21.0,51.0,68.0
/zapas/2893868,0.0,1.0,Columbus Blue Jackets,Chicago Blackhawks,21.0,47.0,64.0,24.0,52.0,66.0
/zapas/2893884,0.0,0.0,Columbus Blue Jackets,Dallas Stars,19.0,46.0,67.0,27.0,51.0,52.0
/zapas/2893900,0.0,0.0,Columbus Blue Jackets,Dallas Stars,16.0,44.0,69.0,30.0,53.0,49.0
/zapas/2893982,1.0,1.0,Columbus Blue Jackets,Detroit Red Wings,13.0,41.0,71.0,27.0,47.0,59.0
/zapas/2894057,0.0,1.0,Columbus Blue Jackets,Detroit Red Wings,15.0,41.0,68.0,27.0,46.0,51.0
/zapas/2894071,1.0,1.0,Columbus Blue Jackets,Detroit Red Wings,15.0,42.0,70.0,27.0,48.0,52.0
/zapas/2896997,1.0,1.0,Columbus Blue Jackets,Arizona Coyotes,17.0,46.0,70.0,23.0,58.0,64.0
/zapas/2897026,0.0,0.0,Columbus Blue Jackets,Detroit Red Wings,19.0,51.0,69.0,28.0,54.0,57.0
/zapas/2897042,1.0,1.0,Columbus Blue Jackets,New York Islanders,19.0,50.0,68.0,31.0,57.0,60.0
/zapas/2897111,1.0,0.0,Columbus Blue Jackets,New Jersey Devils,21.0,47.0,65.0,25.0,60.0,72.0
/zapas/2897212,1.0,1.0,Columbus Blue Jackets,Detroit Red Wings,27.0,58.0,61.0,29.0,57.0,59.0
/zapas/2897231,1.0,0.0,Columbus Blue Jackets,Arizona Coyotes,30.0,62.0,61.0,12.0,40.0,75.0
/zapas/2897242,0.0,0.0,Columbus Blue Jackets,Vegas Golden Knights,31.0,64.0,61.0,31.0,59.0,60.0
/zapas/2897267,1.0,0.0,Columbus Blue Jackets,Buffalo Sabres,29.0,65.0,64.0,23.0,57.0,66.0
/zapas/2897284,1.0,1.0,Columbus Blue Jackets,Winnipeg Jets,31.0,71.0,66.0,30.0,58.0,56.0
/zapas/2897297,1.0,1.0,Columbus Blue Jackets,Vancouver Canucks,33.0,71.0,62.0,18.0,47.0,66.0
/zapas/2897363,1.0,1.0,Columbus Blue Jackets,San Jose Sharks,26.0,60.0,68.0,25.0,46.0,55.0
/zapas/2897392,0.0,1.0,Columbus Blue Jackets,Anaheim Ducks,27.0,66.0,71.0,37.0,69.0,54.0
/zapas/2897402,1.0,0.0,Columbus Blue Jackets,Seattle Kraken,28.0,66.0,68.0,25.0,60.0,70.0
/zapas/2897418,0.0,0.0,Columbus Blue Jackets,Vancouver Canucks,27.0,67.0,71.0,25.0,50.0,60.0
/zapas/2897591,0.0,0.0,Columbus Blue Jackets,New Jersey Devils,22.0,66.0,80.0,18.0,57.0,79.0
/zapas/2897609,1.0,1.0,Columbus Blue Jackets,New Jersey Devils,22.0,64.0,78.0,21.0,59.0,76.0
/zapas/2897626,0.0,1.0,Columbus Blue Jackets,Chicago Blackhawks,22.0,63.0,78.0,23.0,50.0,68.0
/zapas/2897692,1.0,0.0,Columbus Blue Jackets,Philadelphia Flyers,20.0,59.0,80.0,17.0,51.0,77.0
/zapas/2897717,0.0,1.0,Columbus Blue Jackets,Ottawa Senators,17.0,56.0,84.0,21.0,60.0,76.0
/zapas/2897767,1.0,0.0,Columbus Blue Jackets,Montreal Canadiens,20.0,57.0,80.0,10.0,42.0,83.0
/zapas/2897472,1.0,0.0,Columbus Blue Jackets,Buffalo Sabres,23.0,61.0,83.0,21.0,47.0,65.0
/zapas/2897615,1.0,0.0,Columbus Blue Jackets,Montreal Canadiens,24.0,64.0,84.0,9.0,43.0,91.0
/zapas/2897520,1.0,0.0,Columbus Blue Jackets,Chicago Blackhawks,25.0,60.0,83.0,24.0,51.0,70.0
/zapas/2897503,1.0,1.0,Columbus Blue Jackets,Buffalo Sabres,28.0,65.0,82.0,21.0,53.0,71.0
/zapas/2897840,1.0,1.0,Columbus Blue Jackets,New Jersey Devils,31.0,69.0,75.0,18.0,68.0,77.0
/zapas/2897679,0.0,0.0,Columbus Blue Jackets,New York Islanders,30.0,72.0,78.0,23.0,58.0,64.0
