game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526400,0.0,0.0,Calgary Flames,Dallas Stars,32.0,62.0,61.0,33.0,58.0,59.0
/zapas/2526440,1.0,1.0,Calgary Flames,Arizona Coyotes,27.0,58.0,67.0,17.0,50.0,68.0
/zapas/2526461,0.0,1.0,Calgary Flames,Edmonton Oilers,30.0,61.0,61.0,23.0,58.0,67.0
/zapas/2526486,1.0,0.0,Calgary Flames,Montreal Canadiens,28.0,61.0,67.0,33.0,63.0,56.0
/zapas/2526508,1.0,1.0,Calgary Flames,Vancouver Canucks,28.0,61.0,67.0,30.0,55.0,58.0
/zapas/2526563,1.0,0.0,Calgary Flames,Vancouver Canucks,27.0,61.0,67.0,25.0,52.0,69.0
/zapas/2526582,1.0,1.0,Calgary Flames,St. Louis Blues,28.0,62.0,64.0,31.0,57.0,52.0
/zapas/2526595,0.0,1.0,Calgary Flames,Montreal Canadiens,31.0,61.0,60.0,31.0,55.0,53.0
/zapas/2526654,1.0,1.0,Calgary Flames,Chicago Blackhawks,26.0,51.0,53.0,30.0,61.0,60.0
/zapas/2526721,1.0,0.0,Calgary Flames,Florida Panthers,30.0,54.0,50.0,33.0,56.0,60.0
/zapas/2526734,1.0,0.0,Calgary Flames,Carolina Hurricanes,33.0,57.0,48.0,30.0,56.0,61.0
/zapas/2526785,0.0,1.0,Calgary Flames,Buffalo Sabres,34.0,54.0,44.0,19.0,48.0,73.0
/zapas/2526809,0.0,0.0,Calgary Flames,Edmonton Oilers,35.0,53.0,41.0,29.0,51.0,58.0
/zapas/2526857,1.0,1.0,Calgary Flames,Chicago Blackhawks,30.0,54.0,50.0,28.0,57.0,57.0
/zapas/2526875,1.0,0.0,Calgary Flames,Chicago Blackhawks,32.0,56.0,50.0,26.0,55.0,60.0
/zapas/2526890,0.0,0.0,Calgary Flames,New York Rangers,35.0,56.0,51.0,17.0,45.0,71.0
/zapas/2526912,1.0,0.0,Calgary Flames,New York Islanders,32.0,57.0,54.0,22.0,61.0,80.0
/zapas/2526958,0.0,1.0,Calgary Flames,Florida Panthers,37.0,61.0,56.0,36.0,60.0,58.0
/zapas/2526993,1.0,0.0,Calgary Flames,Arizona Coyotes,30.0,57.0,63.0,26.0,55.0,63.0
/zapas/2527029,0.0,0.0,Calgary Flames,Dallas Stars,31.0,59.0,63.0,35.0,57.0,47.0
/zapas/2527050,0.0,1.0,Calgary Flames,New York Rangers,25.0,53.0,67.0,18.0,51.0,77.0
/zapas/2527083,1.0,0.0,Calgary Flames,Buffalo Sabres,24.0,55.0,70.0,29.0,56.0,52.0
/zapas/2527099,1.0,0.0,Calgary Flames,Ottawa Senators,26.0,59.0,69.0,21.0,58.0,68.0
/zapas/2527114,0.0,1.0,Calgary Flames,New York Islanders,28.0,58.0,66.0,20.0,49.0,67.0
/zapas/2527130,1.0,1.0,Calgary Flames,Edmonton Oilers,28.0,58.0,67.0,23.0,62.0,67.0
/zapas/2527174,0.0,0.0,Calgary Flames,Arizona Coyotes,26.0,52.0,66.0,33.0,51.0,52.0
/zapas/2527270,1.0,1.0,Calgary Flames,Edmonton Oilers,17.0,41.0,72.0,28.0,63.0,61.0
/zapas/2527289,0.0,1.0,Calgary Flames,Arizona Coyotes,20.0,41.0,68.0,33.0,58.0,51.0
