game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526390,0.0,0.0,Colorado Avalanche,Minnesota Wild,32.0,69.0,65.0,33.0,62.0,55.0
/zapas/2526411,0.0,1.0,Colorado Avalanche,Calgary Flames,30.0,67.0,66.0,29.0,60.0,64.0
/zapas/2526434,1.0,1.0,Colorado Avalanche,Winnipeg Jets,30.0,68.0,65.0,41.0,66.0,47.0
/zapas/2526449,0.0,1.0,Colorado Avalanche,New Jersey Devils,29.0,67.0,67.0,32.0,60.0,63.0
/zapas/2526465,0.0,1.0,Colorado Avalanche,Dallas Stars,26.0,62.0,66.0,34.0,63.0,60.0
/zapas/2526476,0.0,1.0,Colorado Avalanche,Buffalo Sabres,23.0,61.0,72.0,16.0,38.0,66.0
/zapas/2526487,0.0,0.0,Colorado Avalanche,Tampa Bay Lightning,23.0,62.0,73.0,41.0,74.0,46.0
/zapas/2526502,1.0,0.0,Colorado Avalanche,Florida Panthers,23.0,63.0,74.0,26.0,60.0,67.0
/zapas/2526516,1.0,0.0,Colorado Avalanche,Pittsburgh Penguins,26.0,67.0,73.0,26.0,59.0,61.0
/zapas/2526523,0.0,0.0,Colorado Avalanche,Washington Capitals,26.0,64.0,71.0,37.0,60.0,52.0
/zapas/2526540,1.0,1.0,Colorado Avalanche,Florida Panthers,26.0,66.0,69.0,25.0,52.0,64.0
/zapas/2526559,0.0,1.0,Colorado Avalanche,Tampa Bay Lightning,26.0,62.0,67.0,40.0,73.0,48.0
/zapas/2526568,1.0,1.0,Colorado Avalanche,Pittsburgh Penguins,23.0,62.0,70.0,26.0,60.0,56.0
/zapas/2526591,0.0,0.0,Colorado Avalanche,Los Angeles Kings,24.0,61.0,68.0,29.0,55.0,48.0
/zapas/2526608,1.0,0.0,Colorado Avalanche,Arizona Coyotes,25.0,58.0,64.0,18.0,41.0,59.0
/zapas/2526621,0.0,1.0,Colorado Avalanche,Arizona Coyotes,27.0,61.0,62.0,17.0,41.0,62.0
/zapas/2526638,1.0,1.0,Colorado Avalanche,Toronto Maple Leafs,27.0,59.0,61.0,35.0,61.0,46.0
/zapas/2526652,1.0,1.0,Colorado Avalanche,New York Islanders,26.0,57.0,62.0,27.0,69.0,74.0
/zapas/2526665,1.0,1.0,Colorado Avalanche,Winnipeg Jets,29.0,61.0,58.0,36.0,67.0,54.0
/zapas/2526681,1.0,1.0,Colorado Avalanche,Columbus Blue Jackets,29.0,60.0,57.0,29.0,53.0,62.0
/zapas/2526688,1.0,1.0,Colorado Avalanche,Minnesota Wild,29.0,59.0,57.0,31.0,57.0,57.0
/zapas/2526729,1.0,0.0,Colorado Avalanche,Dallas Stars,31.0,64.0,56.0,34.0,65.0,49.0
/zapas/2526738,1.0,1.0,Colorado Avalanche,Anaheim Ducks,34.0,66.0,54.0,34.0,56.0,49.0
/zapas/2526757,1.0,1.0,Colorado Avalanche,San Jose Sharks,35.0,66.0,53.0,32.0,62.0,63.0
/zapas/2526764,1.0,1.0,Colorado Avalanche,New York Rangers,38.0,70.0,54.0,29.0,54.0,55.0
/zapas/2526781,1.0,0.0,Colorado Avalanche,Toronto Maple Leafs,41.0,71.0,48.0,28.0,54.0,55.0
/zapas/2526789,0.0,0.0,Colorado Avalanche,Montreal Canadiens,44.0,73.0,46.0,22.0,52.0,63.0
/zapas/2526807,0.0,0.0,Colorado Avalanche,St. Louis Blues,44.0,73.0,45.0,25.0,44.0,53.0
/zapas/2526826,0.0,0.0,Colorado Avalanche,Vancouver Canucks,41.0,67.0,45.0,15.0,48.0,78.0
/zapas/2526839,1.0,0.0,Colorado Avalanche,Edmonton Oilers,39.0,68.0,48.0,28.0,49.0,59.0
/zapas/2526848,0.0,0.0,Colorado Avalanche,Winnipeg Jets,41.0,70.0,46.0,38.0,61.0,48.0
/zapas/2526876,1.0,1.0,Colorado Avalanche,San Jose Sharks,38.0,68.0,48.0,33.0,64.0,62.0
