game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526371,0.0,0.0,Edmonton Oilers,St. Louis Blues,20.0,50.0,64.0,40.0,65.0,51.0
/zapas/2526374,1.0,0.0,Edmonton Oilers,Detroit Red Wings,17.0,50.0,72.0,28.0,59.0,56.0
/zapas/2526393,0.0,0.0,Edmonton Oilers,Buffalo Sabres,20.0,54.0,71.0,17.0,47.0,70.0
/zapas/2526429,1.0,1.0,Edmonton Oilers,Arizona Coyotes,23.0,56.0,65.0,16.0,52.0,70.0
/zapas/2526461,1.0,0.0,Edmonton Oilers,Calgary Flames,23.0,58.0,67.0,30.0,61.0,61.0
/zapas/2526500,1.0,0.0,Edmonton Oilers,Montreal Canadiens,25.0,65.0,72.0,34.0,65.0,55.0
/zapas/2526590,1.0,1.0,Edmonton Oilers,St. Louis Blues,29.0,69.0,66.0,28.0,55.0,53.0
/zapas/2526599,1.0,1.0,Edmonton Oilers,Montreal Canadiens,30.0,69.0,66.0,31.0,56.0,55.0
/zapas/2526639,0.0,1.0,Edmonton Oilers,Chicago Blackhawks,32.0,73.0,65.0,30.0,61.0,60.0
/zapas/2526689,0.0,0.0,Edmonton Oilers,Dallas Stars,32.0,63.0,60.0,34.0,66.0,52.0
/zapas/2526698,0.0,0.0,Edmonton Oilers,Chicago Blackhawks,29.0,58.0,63.0,28.0,60.0,60.0
/zapas/2526723,1.0,0.0,Edmonton Oilers,Arizona Coyotes,26.0,55.0,64.0,15.0,40.0,64.0
/zapas/2526774,1.0,1.0,Edmonton Oilers,Vancouver Canucks,29.0,55.0,60.0,21.0,51.0,74.0
/zapas/2526793,0.0,1.0,Edmonton Oilers,Buffalo Sabres,29.0,53.0,57.0,21.0,49.0,69.0
/zapas/2526809,1.0,1.0,Edmonton Oilers,Calgary Flames,29.0,51.0,58.0,35.0,53.0,41.0
/zapas/2526916,0.0,1.0,Edmonton Oilers,Florida Panthers,23.0,51.0,67.0,33.0,54.0,57.0
/zapas/2526951,0.0,0.0,Edmonton Oilers,Arizona Coyotes,17.0,50.0,75.0,26.0,57.0,64.0
/zapas/2527061,0.0,1.0,Edmonton Oilers,New York Rangers,24.0,62.0,70.0,18.0,49.0,77.0
/zapas/2527072,1.0,1.0,Edmonton Oilers,Arizona Coyotes,21.0,60.0,71.0,32.0,55.0,55.0
/zapas/2527095,1.0,1.0,Edmonton Oilers,New York Islanders,21.0,61.0,72.0,22.0,55.0,68.0
/zapas/2527130,0.0,0.0,Edmonton Oilers,Calgary Flames,23.0,62.0,67.0,28.0,58.0,67.0
/zapas/2527153,1.0,0.0,Edmonton Oilers,Florida Panthers,21.0,58.0,65.0,44.0,72.0,53.0
/zapas/2527178,1.0,0.0,Edmonton Oilers,Carolina Hurricanes,21.0,55.0,63.0,24.0,52.0,66.0
/zapas/2527194,1.0,0.0,Edmonton Oilers,Ottawa Senators,24.0,60.0,63.0,22.0,62.0,72.0
