game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526406,0.0,1.0,Florida Panthers,Chicago Blackhawks,24.0,60.0,68.0,28.0,53.0,55.0
/zapas/2526423,1.0,0.0,Florida Panthers,New York Rangers,21.0,54.0,68.0,34.0,68.0,57.0
/zapas/2526459,0.0,0.0,Florida Panthers,Carolina Hurricanes,24.0,56.0,65.0,27.0,57.0,64.0
/zapas/2526467,0.0,1.0,Florida Panthers,New York Islanders,25.0,55.0,64.0,37.0,81.0,67.0
/zapas/2526517,1.0,0.0,Florida Panthers,Detroit Red Wings,23.0,55.0,71.0,24.0,53.0,68.0
/zapas/2526527,0.0,0.0,Florida Panthers,Chicago Blackhawks,24.0,55.0,69.0,28.0,56.0,56.0
/zapas/2526577,1.0,0.0,Florida Panthers,Arizona Coyotes,24.0,48.0,59.0,17.0,39.0,60.0
/zapas/2526601,1.0,1.0,Florida Panthers,Ottawa Senators,27.0,50.0,59.0,17.0,45.0,71.0
/zapas/2526642,1.0,1.0,Florida Panthers,Montreal Canadiens,31.0,49.0,56.0,26.0,54.0,59.0
/zapas/2526683,0.0,0.0,Florida Panthers,Detroit Red Wings,31.0,50.0,57.0,24.0,49.0,67.0
/zapas/2526711,1.0,0.0,Florida Panthers,St. Louis Blues,30.0,50.0,60.0,27.0,44.0,49.0
/zapas/2526721,0.0,1.0,Florida Panthers,Calgary Flames,33.0,56.0,60.0,30.0,54.0,50.0
/zapas/2526792,0.0,0.0,Florida Panthers,Dallas Stars,29.0,56.0,63.0,33.0,62.0,48.0
/zapas/2526817,1.0,0.0,Florida Panthers,New York Islanders,27.0,53.0,65.0,22.0,64.0,80.0
/zapas/2526831,1.0,0.0,Florida Panthers,Buffalo Sabres,27.0,51.0,62.0,22.0,51.0,64.0
/zapas/2526851,1.0,1.0,Florida Panthers,Detroit Red Wings,30.0,52.0,57.0,29.0,51.0,49.0
/zapas/2526872,1.0,1.0,Florida Panthers,Vancouver Canucks,31.0,53.0,58.0,20.0,54.0,71.0
/zapas/2526916,1.0,0.0,Florida Panthers,Edmonton Oilers,33.0,54.0,57.0,23.0,51.0,67.0
/zapas/2526932,1.0,0.0,Florida Panthers,Vancouver Canucks,36.0,59.0,57.0,20.0,50.0,62.0
/zapas/2526958,1.0,0.0,Florida Panthers,Calgary Flames,36.0,60.0,58.0,37.0,61.0,56.0
/zapas/2527046,1.0,1.0,Florida Panthers,Buffalo Sabres,37.0,68.0,64.0,26.0,54.0,56.0
/zapas/2527092,1.0,1.0,Florida Panthers,Montreal Canadiens,39.0,67.0,60.0,23.0,52.0,62.0
/zapas/2527110,1.0,1.0,Florida Panthers,New York Rangers,42.0,69.0,56.0,18.0,48.0,77.0
/zapas/2527121,0.0,1.0,Florida Panthers,Ottawa Senators,44.0,72.0,53.0,21.0,57.0,67.0
/zapas/2527153,0.0,1.0,Florida Panthers,Edmonton Oilers,44.0,72.0,53.0,21.0,58.0,65.0
/zapas/2527172,1.0,0.0,Florida Panthers,Montreal Canadiens,41.0,70.0,55.0,21.0,47.0,67.0
/zapas/2527179,1.0,0.0,Florida Panthers,Ottawa Senators,41.0,69.0,53.0,25.0,65.0,68.0
/zapas/2527210,1.0,1.0,Florida Panthers,Arizona Coyotes,41.0,72.0,55.0,37.0,58.0,48.0
/zapas/2527223,1.0,0.0,Florida Panthers,New York Islanders,41.0,69.0,52.0,18.0,58.0,72.0
/zapas/2527247,0.0,0.0,Florida Panthers,Ottawa Senators,38.0,65.0,50.0,18.0,57.0,74.0
/zapas/2527279,1.0,1.0,Florida Panthers,Carolina Hurricanes,39.0,66.0,50.0,26.0,60.0,70.0
/zapas/2527316,1.0,1.0,Florida Panthers,Buffalo Sabres,40.0,62.0,46.0,20.0,50.0,76.0
/zapas/2647262,0.0,1.0,Florida Panthers,Vancouver Canucks,37.0,60.0,49.0,24.0,54.0,62.0
/zapas/2647306,0.0,1.0,Florida Panthers,Detroit Red Wings,35.0,61.0,55.0,15.0,52.0,77.0
/zapas/2647320,0.0,0.0,Florida Panthers,New York Rangers,33.0,61.0,59.0,15.0,49.0,72.0
/zapas/2647426,1.0,1.0,Florida Panthers,Edmonton Oilers,29.0,59.0,63.0,27.0,54.0,59.0
/zapas/2647452,1.0,1.0,Florida Panthers,Ottawa Senators,32.0,61.0,62.0,26.0,67.0,82.0
/zapas/2647465,1.0,0.0,Florida Panthers,Philadelphia Flyers,34.0,64.0,60.0,29.0,66.0,75.0
/zapas/2647495,0.0,0.0,Florida Panthers,New York Rangers,34.0,65.0,61.0,24.0,57.0,67.0
/zapas/2647510,1.0,0.0,Florida Panthers,Ottawa Senators,31.0,65.0,64.0,29.0,70.0,81.0
/zapas/2647550,0.0,1.0,Florida Panthers,Chicago Blackhawks,25.0,65.0,73.0,21.0,45.0,64.0
/zapas/2647561,1.0,1.0,Florida Panthers,New Jersey Devils,25.0,68.0,76.0,24.0,54.0,70.0
/zapas/2647576,0.0,1.0,Florida Panthers,Anaheim Ducks,27.0,68.0,74.0,22.0,42.0,61.0
/zapas/2647588,1.0,1.0,Florida Panthers,Buffalo Sabres,27.0,68.0,74.0,37.0,71.0,56.0
/zapas/2647648,0.0,1.0,Florida Panthers,New York Rangers,29.0,66.0,66.0,32.0,61.0,60.0
/zapas/2647682,0.0,0.0,Florida Panthers,Minnesota Wild,28.0,68.0,70.0,30.0,66.0,61.0
/zapas/2647715,1.0,0.0,Florida Panthers,Buffalo Sabres,27.0,67.0,72.0,34.0,63.0,57.0
/zapas/2647745,1.0,0.0,Florida Panthers,Detroit Red Wings,24.0,65.0,77.0,26.0,61.0,62.0
/zapas/2647759,1.0,0.0,Florida Panthers,Chicago Blackhawks,24.0,62.0,77.0,22.0,57.0,72.0
/zapas/2647778,0.0,1.0,Florida Panthers,Montreal Canadiens,24.0,66.0,79.0,31.0,57.0,62.0
/zapas/2647789,1.0,1.0,Florida Panthers,Philadelphia Flyers,24.0,66.0,77.0,24.0,56.0,71.0
/zapas/2647804,1.0,0.0,Florida Panthers,Detroit Red Wings,27.0,66.0,74.0,20.0,55.0,71.0
/zapas/2647821,0.0,0.0,Florida Panthers,Buffalo Sabres,26.0,63.0,72.0,26.0,55.0,59.0
/zapas/2647877,0.0,0.0,Florida Panthers,Edmonton Oilers,26.0,62.0,69.0,29.0,56.0,62.0
/zapas/2647900,0.0,0.0,Florida Panthers,Vancouver Canucks,25.0,62.0,71.0,28.0,54.0,53.0
/zapas/2647912,0.0,0.0,Florida Panthers,Montreal Canadiens,23.0,60.0,74.0,36.0,58.0,53.0
/zapas/2648106,1.0,1.0,Florida Panthers,Montreal Canadiens,25.0,53.0,64.0,32.0,53.0,48.0
/zapas/2648114,1.0,1.0,Florida Panthers,Buffalo Sabres,25.0,57.0,66.0,21.0,56.0,72.0
/zapas/2648147,1.0,1.0,Florida Panthers,Los Angeles Kings,26.0,57.0,65.0,22.0,52.0,65.0
/zapas/2648175,0.0,0.0,Florida Panthers,Arizona Coyotes,30.0,63.0,60.0,32.0,56.0,59.0
/zapas/2648211,0.0,1.0,Florida Panthers,Ottawa Senators,32.0,67.0,61.0,14.0,50.0,70.0
/zapas/2648242,1.0,1.0,Florida Panthers,Minnesota Wild,27.0,66.0,63.0,31.0,56.0,58.0
/zapas/2648258,1.0,1.0,Florida Panthers,Detroit Red Wings,27.0,66.0,63.0,19.0,51.0,71.0
/zapas/2648299,1.0,0.0,Florida Panthers,Los Angeles Kings,30.0,72.0,61.0,17.0,51.0,73.0
/zapas/2648314,0.0,0.0,Florida Panthers,Anaheim Ducks,33.0,74.0,61.0,24.0,46.0,57.0
/zapas/2648334,1.0,1.0,Florida Panthers,Arizona Coyotes,29.0,70.0,62.0,37.0,56.0,49.0
/zapas/2648378,0.0,0.0,Florida Panthers,Montreal Canadiens,30.0,77.0,68.0,28.0,55.0,57.0
/zapas/2648390,1.0,0.0,Florida Panthers,Ottawa Senators,27.0,72.0,71.0,17.0,53.0,73.0
/zapas/2648460,0.0,1.0,Florida Panthers,New Jersey Devils,29.0,70.0,69.0,18.0,38.0,64.0
/zapas/2890994,0.0,0.0,Florida Panthers,New York Islanders,28.0,70.0,69.0,26.0,58.0,63.0
/zapas/2890995,0.0,0.0,Florida Panthers,New York Islanders,27.0,66.0,65.0,29.0,57.0,58.0
/zapas/2890996,1.0,1.0,Florida Panthers,New York Islanders,26.0,65.0,65.0,32.0,58.0,56.0
/zapas/2890997,0.0,1.0,Florida Panthers,New York Islanders,29.0,66.0,64.0,29.0,56.0,58.0
/zapas/2894357,0.0,1.0,Florida Panthers,Tampa Bay Lightning,28.0,65.0,66.0,42.0,67.0,44.0
/zapas/2894358,0.0,1.0,Florida Panthers,Tampa Bay Lightning,28.0,66.0,67.0,42.0,69.0,46.0
/zapas/2894359,1.0,0.0,Florida Panthers,Tampa Bay Lightning,25.0,61.0,68.0,42.0,70.0,46.0
/zapas/2894360,0.0,0.0,Florida Panthers,Tampa Bay Lightning,24.0,61.0,72.0,41.0,70.0,48.0
/zapas/2894361,1.0,1.0,Florida Panthers,Tampa Bay Lightning,21.0,59.0,76.0,44.0,74.0,47.0
