game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2647486,1.0,0.0,Los Angeles Kings,Chicago Blackhawks,17.0,37.0,61.0,22.0,53.0,71.0
/zapas/2647555,0.0,1.0,Los Angeles Kings,Vancouver Canucks,20.0,42.0,65.0,19.0,54.0,75.0
/zapas/2647559,1.0,1.0,Los Angeles Kings,Edmonton Oilers,17.0,40.0,67.0,28.0,59.0,62.0
/zapas/2647574,1.0,0.0,Los Angeles Kings,Vancouver Canucks,20.0,44.0,67.0,20.0,55.0,75.0
/zapas/2647586,0.0,0.0,Los Angeles Kings,Edmonton Oilers,19.0,43.0,68.0,25.0,55.0,62.0
/zapas/2647623,0.0,1.0,Los Angeles Kings,Arizona Coyotes,22.0,44.0,59.0,34.0,62.0,55.0
/zapas/2647637,0.0,1.0,Los Angeles Kings,New Jersey Devils,22.0,44.0,56.0,20.0,53.0,77.0
/zapas/2647660,0.0,0.0,Los Angeles Kings,Detroit Red Wings,25.0,49.0,55.0,32.0,67.0,59.0
/zapas/2647664,0.0,0.0,Los Angeles Kings,Buffalo Sabres,22.0,46.0,55.0,30.0,65.0,60.0
/zapas/2647776,1.0,1.0,Los Angeles Kings,Arizona Coyotes,25.0,52.0,57.0,23.0,48.0,62.0
/zapas/2647841,1.0,1.0,Los Angeles Kings,Edmonton Oilers,25.0,48.0,55.0,29.0,57.0,61.0
/zapas/2647880,0.0,1.0,Los Angeles Kings,Ottawa Senators,23.0,46.0,55.0,20.0,53.0,69.0
/zapas/2647915,0.0,0.0,Los Angeles Kings,Minnesota Wild,26.0,49.0,54.0,25.0,48.0,61.0
/zapas/2648004,1.0,0.0,Los Angeles Kings,New York Rangers,27.0,48.0,60.0,27.0,54.0,69.0
/zapas/2648010,1.0,0.0,Los Angeles Kings,New Jersey Devils,28.0,49.0,59.0,25.0,58.0,62.0
/zapas/2648024,1.0,0.0,Los Angeles Kings,Philadelphia Flyers,31.0,53.0,56.0,29.0,55.0,58.0
/zapas/2648084,0.0,1.0,Los Angeles Kings,Vancouver Canucks,28.0,54.0,62.0,24.0,47.0,58.0
/zapas/2648147,0.0,0.0,Los Angeles Kings,Florida Panthers,22.0,52.0,65.0,26.0,57.0,65.0
/zapas/2648198,1.0,1.0,Los Angeles Kings,Chicago Blackhawks,21.0,53.0,74.0,31.0,87.0,80.0
/zapas/2648226,0.0,1.0,Los Angeles Kings,Montreal Canadiens,24.0,58.0,73.0,33.0,63.0,54.0
/zapas/2648254,0.0,0.0,Los Angeles Kings,Arizona Coyotes,20.0,52.0,75.0,34.0,55.0,50.0
/zapas/2648262,1.0,0.0,Los Angeles Kings,Anaheim Ducks,17.0,52.0,78.0,18.0,40.0,66.0
/zapas/2648299,0.0,1.0,Los Angeles Kings,Florida Panthers,17.0,51.0,73.0,30.0,72.0,61.0
/zapas/2648361,1.0,1.0,Los Angeles Kings,Anaheim Ducks,15.0,49.0,74.0,29.0,50.0,51.0
/zapas/2648380,0.0,0.0,Los Angeles Kings,Edmonton Oilers,17.0,49.0,70.0,27.0,54.0,65.0
/zapas/2648393,0.0,0.0,Los Angeles Kings,Vancouver Canucks,17.0,49.0,72.0,20.0,47.0,61.0
/zapas/2648412,1.0,1.0,Los Angeles Kings,Chicago Blackhawks,17.0,48.0,71.0,31.0,68.0,67.0
/zapas/2648436,1.0,0.0,Los Angeles Kings,Arizona Coyotes,19.0,49.0,73.0,36.0,52.0,43.0
/zapas/2648454,0.0,0.0,Los Angeles Kings,Anaheim Ducks,22.0,51.0,72.0,30.0,56.0,60.0
/zapas/2806482,0.0,1.0,Los Angeles Kings,Buffalo Sabres,25.0,61.0,73.0,23.0,59.0,68.0
/zapas/2806618,0.0,0.0,Los Angeles Kings,Ottawa Senators,21.0,54.0,77.0,19.0,54.0,72.0
/zapas/2806669,1.0,1.0,Los Angeles Kings,Detroit Red Wings,20.0,53.0,74.0,21.0,46.0,75.0
/zapas/2806749,0.0,1.0,Los Angeles Kings,San Jose Sharks,23.0,49.0,62.0,33.0,64.0,63.0
/zapas/2806769,0.0,0.0,Los Angeles Kings,San Jose Sharks,24.0,47.0,58.0,29.0,61.0,66.0
/zapas/2806799,0.0,0.0,Los Angeles Kings,Anaheim Ducks,27.0,50.0,58.0,21.0,53.0,70.0
/zapas/2806873,1.0,0.0,Los Angeles Kings,Anaheim Ducks,24.0,49.0,54.0,23.0,57.0,68.0
/zapas/2806893,1.0,0.0,Los Angeles Kings,Detroit Red Wings,26.0,48.0,52.0,16.0,41.0,79.0
/zapas/2806928,0.0,0.0,Los Angeles Kings,Buffalo Sabres,31.0,53.0,51.0,25.0,64.0,71.0
/zapas/2806968,1.0,0.0,Los Angeles Kings,San Jose Sharks,26.0,50.0,55.0,24.0,53.0,69.0
/zapas/2807180,0.0,1.0,Los Angeles Kings,Anaheim Ducks,21.0,50.0,61.0,18.0,49.0,68.0
/zapas/2807225,0.0,0.0,Los Angeles Kings,New Jersey Devils,14.0,46.0,65.0,26.0,66.0,74.0
/zapas/2807376,1.0,1.0,Los Angeles Kings,New Jersey Devils,19.0,46.0,64.0,32.0,61.0,60.0
/zapas/2807458,1.0,1.0,Los Angeles Kings,Ottawa Senators,28.0,51.0,56.0,21.0,51.0,71.0
/zapas/2893369,0.0,1.0,Los Angeles Kings,Anaheim Ducks,37.0,61.0,52.0,26.0,47.0,62.0
/zapas/2893419,0.0,1.0,Los Angeles Kings,San Jose Sharks,31.0,56.0,53.0,19.0,54.0,67.0
/zapas/2893435,1.0,1.0,Los Angeles Kings,San Jose Sharks,31.0,58.0,55.0,21.0,56.0,67.0
/zapas/2893475,1.0,0.0,Los Angeles Kings,Arizona Coyotes,34.0,64.0,52.0,25.0,48.0,64.0
/zapas/2893490,1.0,0.0,Los Angeles Kings,Arizona Coyotes,34.0,65.0,53.0,26.0,50.0,64.0
/zapas/2893950,0.0,1.0,Los Angeles Kings,Arizona Coyotes,30.0,60.0,56.0,27.0,53.0,60.0
/zapas/2893608,0.0,0.0,Los Angeles Kings,Anaheim Ducks,31.0,60.0,54.0,20.0,47.0,63.0
/zapas/2893622,1.0,0.0,Los Angeles Kings,Anaheim Ducks,29.0,61.0,58.0,19.0,50.0,67.0
/zapas/2893711,0.0,0.0,Los Angeles Kings,San Jose Sharks,32.0,60.0,50.0,23.0,56.0,68.0
/zapas/2893722,0.0,0.0,Los Angeles Kings,San Jose Sharks,32.0,58.0,48.0,25.0,57.0,67.0
/zapas/2893792,0.0,1.0,Los Angeles Kings,San Jose Sharks,28.0,52.0,52.0,27.0,59.0,66.0
/zapas/2893804,0.0,1.0,Los Angeles Kings,San Jose Sharks,26.0,49.0,53.0,27.0,57.0,62.0
/zapas/2893818,0.0,1.0,Los Angeles Kings,Arizona Coyotes,23.0,47.0,54.0,29.0,54.0,64.0
/zapas/2893832,1.0,1.0,Los Angeles Kings,Arizona Coyotes,20.0,46.0,59.0,30.0,55.0,63.0
/zapas/2893849,0.0,0.0,Los Angeles Kings,San Jose Sharks,20.0,48.0,61.0,30.0,53.0,56.0
/zapas/2893857,1.0,0.0,Los Angeles Kings,San Jose Sharks,20.0,49.0,63.0,30.0,52.0,56.0
/zapas/2893932,1.0,1.0,Los Angeles Kings,Anaheim Ducks,21.0,50.0,65.0,17.0,42.0,66.0
/zapas/2893960,0.0,1.0,Los Angeles Kings,Arizona Coyotes,21.0,47.0,61.0,23.0,55.0,69.0
/zapas/2893973,1.0,1.0,Los Angeles Kings,Anaheim Ducks,18.0,42.0,64.0,17.0,43.0,64.0
/zapas/2893988,0.0,1.0,Los Angeles Kings,Anaheim Ducks,21.0,46.0,63.0,17.0,43.0,65.0
/zapas/2894003,1.0,0.0,Los Angeles Kings,Anaheim Ducks,21.0,47.0,62.0,20.0,42.0,59.0
/zapas/2894018,0.0,0.0,Los Angeles Kings,Anaheim Ducks,21.0,45.0,62.0,18.0,40.0,59.0
/zapas/2894030,1.0,0.0,Los Angeles Kings,Arizona Coyotes,21.0,45.0,64.0,26.0,61.0,66.0
/zapas/2894044,1.0,0.0,Los Angeles Kings,Arizona Coyotes,21.0,45.0,65.0,24.0,58.0,65.0
/zapas/2900303,1.0,0.0,Los Angeles Kings,Edmonton Oilers,22.0,45.0,68.0,19.0,57.0,75.0
/zapas/2900304,0.0,0.0,Los Angeles Kings,Edmonton Oilers,25.0,47.0,66.0,17.0,57.0,77.0
/zapas/2900305,0.0,1.0,Los Angeles Kings,Edmonton Oilers,22.0,43.0,69.0,20.0,60.0,71.0
/zapas/2900306,1.0,1.0,Los Angeles Kings,Edmonton Oilers,22.0,43.0,72.0,23.0,66.0,66.0
/zapas/2900307,1.0,0.0,Los Angeles Kings,Edmonton Oilers,22.0,43.0,70.0,20.0,62.0,69.0
/zapas/2900308,0.0,1.0,Los Angeles Kings,Edmonton Oilers,24.0,46.0,70.0,20.0,63.0,70.0
/zapas/2900309,0.0,0.0,Los Angeles Kings,Edmonton Oilers,24.0,46.0,68.0,20.0,59.0,68.0
