game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526352,0.0,1.0,Montreal Canadiens,Toronto Maple Leafs,23.0,51.0,68.0,34.0,73.0,63.0
/zapas/2526372,0.0,0.0,Montreal Canadiens,Dallas Stars,21.0,48.0,72.0,30.0,58.0,61.0
/zapas/2526383,0.0,0.0,Montreal Canadiens,Nashville Predators,21.0,48.0,69.0,36.0,65.0,60.0
/zapas/2526403,1.0,1.0,Montreal Canadiens,Buffalo Sabres,22.0,50.0,70.0,20.0,48.0,65.0
/zapas/2526418,1.0,1.0,Montreal Canadiens,Columbus Blue Jackets,25.0,52.0,67.0,34.0,60.0,49.0
/zapas/2526432,1.0,1.0,Montreal Canadiens,Ottawa Senators,27.0,52.0,64.0,26.0,62.0,67.0
/zapas/2526436,1.0,0.0,Montreal Canadiens,Detroit Red Wings,30.0,52.0,60.0,22.0,52.0,62.0
/zapas/2526453,1.0,1.0,Montreal Canadiens,Detroit Red Wings,33.0,57.0,58.0,22.0,53.0,65.0
/zapas/2526472,0.0,1.0,Montreal Canadiens,St. Louis Blues,36.0,65.0,53.0,36.0,65.0,54.0
/zapas/2526486,0.0,1.0,Montreal Canadiens,Calgary Flames,33.0,63.0,56.0,28.0,61.0,67.0
/zapas/2526500,0.0,1.0,Montreal Canadiens,Edmonton Oilers,34.0,65.0,55.0,25.0,65.0,72.0
/zapas/2526536,1.0,1.0,Montreal Canadiens,New Jersey Devils,31.0,62.0,57.0,29.0,54.0,61.0
/zapas/2526553,0.0,0.0,Montreal Canadiens,Ottawa Senators,30.0,56.0,55.0,17.0,45.0,75.0
/zapas/2526578,1.0,0.0,Montreal Canadiens,Vancouver Canucks,30.0,53.0,52.0,25.0,51.0,72.0
/zapas/2526595,1.0,0.0,Montreal Canadiens,Calgary Flames,31.0,55.0,53.0,31.0,61.0,60.0
/zapas/2526599,0.0,0.0,Montreal Canadiens,Edmonton Oilers,31.0,56.0,55.0,30.0,69.0,66.0
/zapas/2526617,0.0,0.0,Montreal Canadiens,Carolina Hurricanes,28.0,54.0,57.0,29.0,58.0,66.0
/zapas/2526624,0.0,0.0,Montreal Canadiens,Tampa Bay Lightning,28.0,55.0,57.0,42.0,74.0,45.0
/zapas/2526642,0.0,0.0,Montreal Canadiens,Florida Panthers,26.0,54.0,59.0,31.0,49.0,56.0
/zapas/2526660,0.0,1.0,Montreal Canadiens,San Jose Sharks,25.0,53.0,59.0,31.0,54.0,56.0
/zapas/2526674,1.0,1.0,Montreal Canadiens,Tampa Bay Lightning,25.0,50.0,58.0,39.0,69.0,46.0
/zapas/2526703,1.0,1.0,Montreal Canadiens,Vancouver Canucks,27.0,52.0,53.0,20.0,52.0,76.0
/zapas/2526728,0.0,1.0,Montreal Canadiens,Boston Bruins,30.0,56.0,52.0,43.0,77.0,43.0
/zapas/2526740,0.0,1.0,Montreal Canadiens,New York Islanders,30.0,57.0,53.0,19.0,64.0,84.0
/zapas/2526747,0.0,0.0,Montreal Canadiens,Boston Bruins,28.0,58.0,58.0,43.0,77.0,42.0
/zapas/2526759,1.0,0.0,Montreal Canadiens,Washington Capitals,25.0,56.0,61.0,40.0,67.0,51.0
/zapas/2526766,0.0,1.0,Montreal Canadiens,Boston Bruins,25.0,57.0,62.0,43.0,80.0,43.0
/zapas/2526789,1.0,1.0,Montreal Canadiens,Colorado Avalanche,22.0,52.0,63.0,44.0,73.0,46.0
/zapas/2526804,0.0,1.0,Montreal Canadiens,Carolina Hurricanes,22.0,46.0,64.0,29.0,53.0,61.0
/zapas/2526821,0.0,0.0,Montreal Canadiens,St. Louis Blues,22.0,48.0,66.0,26.0,44.0,52.0
/zapas/2526834,0.0,0.0,Montreal Canadiens,Carolina Hurricanes,21.0,47.0,66.0,33.0,56.0,62.0
/zapas/2526846,1.0,1.0,Montreal Canadiens,Anaheim Ducks,21.0,45.0,62.0,34.0,59.0,52.0
/zapas/2526860,1.0,1.0,Montreal Canadiens,Ottawa Senators,22.0,48.0,63.0,20.0,49.0,69.0
/zapas/2526882,0.0,0.0,Montreal Canadiens,Philadelphia Flyers,25.0,52.0,61.0,31.0,60.0,61.0
/zapas/2526899,0.0,1.0,Montreal Canadiens,Nashville Predators,22.0,48.0,61.0,36.0,54.0,47.0
/zapas/2526931,0.0,0.0,Montreal Canadiens,Colorado Avalanche,20.0,47.0,62.0,37.0,62.0,50.0
/zapas/2526941,0.0,0.0,Montreal Canadiens,Arizona Coyotes,20.0,46.0,60.0,23.0,54.0,68.0
/zapas/2526952,0.0,0.0,Montreal Canadiens,Vegas Golden Knights,20.0,47.0,62.0,37.0,64.0,49.0
/zapas/2526974,0.0,0.0,Montreal Canadiens,Philadelphia Flyers,20.0,49.0,65.0,38.0,71.0,58.0
/zapas/2526987,1.0,1.0,Montreal Canadiens,New York Rangers,21.0,51.0,66.0,17.0,48.0,77.0
/zapas/2527004,0.0,1.0,Montreal Canadiens,Tampa Bay Lightning,24.0,53.0,63.0,35.0,69.0,63.0
/zapas/2527019,0.0,1.0,Montreal Canadiens,Philadelphia Flyers,23.0,54.0,66.0,37.0,65.0,56.0
/zapas/2527032,1.0,1.0,Montreal Canadiens,New York Islanders,21.0,49.0,65.0,25.0,61.0,67.0
/zapas/2527045,1.0,0.0,Montreal Canadiens,New York Islanders,23.0,49.0,62.0,22.0,55.0,68.0
/zapas/2527057,0.0,0.0,Montreal Canadiens,Boston Bruins,25.0,51.0,60.0,43.0,70.0,49.0
/zapas/2527075,0.0,0.0,Montreal Canadiens,New Jersey Devils,26.0,51.0,58.0,25.0,51.0,59.0
/zapas/2527092,0.0,0.0,Montreal Canadiens,Florida Panthers,23.0,52.0,62.0,39.0,67.0,60.0
