game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526383,1.0,1.0,Nashville Predators,Montreal Canadiens,36.0,65.0,60.0,21.0,48.0,69.0
/zapas/2526398,1.0,0.0,Nashville Predators,St. Louis Blues,38.0,65.0,58.0,40.0,69.0,52.0
/zapas/2526413,0.0,0.0,Nashville Predators,Carolina Hurricanes,41.0,67.0,54.0,28.0,57.0,60.0
/zapas/2526427,1.0,1.0,Nashville Predators,Chicago Blackhawks,39.0,64.0,53.0,30.0,56.0,54.0
/zapas/2526437,0.0,1.0,Nashville Predators,Vancouver Canucks,39.0,63.0,54.0,30.0,56.0,59.0
/zapas/2526458,1.0,1.0,Nashville Predators,Anaheim Ducks,38.0,65.0,57.0,28.0,58.0,62.0
/zapas/2526468,1.0,1.0,Nashville Predators,Boston Bruins,37.0,64.0,58.0,33.0,53.0,53.0
/zapas/2526475,1.0,0.0,Nashville Predators,Dallas Stars,37.0,68.0,61.0,34.0,65.0,58.0
/zapas/2526495,0.0,1.0,Nashville Predators,Vegas Golden Knights,40.0,71.0,59.0,31.0,71.0,68.0
/zapas/2526532,1.0,0.0,Nashville Predators,Vancouver Canucks,40.0,72.0,60.0,26.0,51.0,63.0
/zapas/2526542,1.0,0.0,Nashville Predators,Edmonton Oilers,40.0,77.0,60.0,28.0,69.0,65.0
/zapas/2526560,1.0,0.0,Nashville Predators,Calgary Flames,43.0,79.0,54.0,29.0,63.0,66.0
/zapas/2526575,0.0,1.0,Nashville Predators,Winnipeg Jets,46.0,80.0,50.0,34.0,66.0,54.0
/zapas/2526588,0.0,1.0,Nashville Predators,Carolina Hurricanes,43.0,79.0,53.0,27.0,56.0,68.0
/zapas/2526609,0.0,0.0,Nashville Predators,Dallas Stars,41.0,76.0,54.0,30.0,59.0,60.0
/zapas/2526618,1.0,0.0,Nashville Predators,St. Louis Blues,39.0,76.0,57.0,29.0,55.0,50.0
/zapas/2526635,0.0,0.0,Nashville Predators,Minnesota Wild,40.0,73.0,54.0,29.0,57.0,64.0
/zapas/2526645,1.0,1.0,Nashville Predators,Minnesota Wild,37.0,69.0,55.0,29.0,55.0,62.0
/zapas/2526666,0.0,0.0,Nashville Predators,Vegas Golden Knights,40.0,68.0,49.0,44.0,73.0,52.0
/zapas/2526678,0.0,0.0,Nashville Predators,Arizona Coyotes,37.0,63.0,50.0,17.0,43.0,63.0
/zapas/2526695,1.0,0.0,Nashville Predators,Los Angeles Kings,35.0,60.0,50.0,35.0,59.0,45.0
/zapas/2526713,1.0,1.0,Nashville Predators,Edmonton Oilers,36.0,61.0,51.0,29.0,58.0,64.0
/zapas/2526745,1.0,1.0,Nashville Predators,Vegas Golden Knights,36.0,61.0,52.0,40.0,64.0,50.0
/zapas/2526756,1.0,1.0,Nashville Predators,Arizona Coyotes,38.0,59.0,48.0,15.0,43.0,68.0
/zapas/2526770,1.0,1.0,Nashville Predators,Florida Panthers,37.0,59.0,48.0,29.0,54.0,61.0
/zapas/2526791,0.0,1.0,Nashville Predators,Tampa Bay Lightning,40.0,60.0,46.0,38.0,65.0,52.0
/zapas/2526801,1.0,0.0,Nashville Predators,New Jersey Devils,39.0,60.0,48.0,26.0,60.0,62.0
/zapas/2526823,0.0,1.0,Nashville Predators,Chicago Blackhawks,39.0,58.0,45.0,30.0,59.0,55.0
/zapas/2526836,1.0,1.0,Nashville Predators,Los Angeles Kings,36.0,54.0,45.0,23.0,48.0,55.0
/zapas/2526854,1.0,1.0,Nashville Predators,New York Rangers,38.0,56.0,41.0,25.0,52.0,63.0
/zapas/2526863,1.0,0.0,Nashville Predators,New York Islanders,38.0,54.0,42.0,23.0,59.0,78.0
/zapas/2526877,0.0,0.0,Nashville Predators,Toronto Maple Leafs,37.0,55.0,46.0,31.0,62.0,56.0
/zapas/2526883,0.0,0.0,Nashville Predators,Ottawa Senators,35.0,55.0,49.0,20.0,48.0,70.0
/zapas/2526899,1.0,0.0,Nashville Predators,Montreal Canadiens,36.0,54.0,47.0,22.0,48.0,61.0
/zapas/2526925,1.0,1.0,Nashville Predators,St. Louis Blues,38.0,56.0,45.0,32.0,54.0,53.0
