game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526404,1.0,0.0,New York Islanders,Ottawa Senators,35.0,76.0,65.0,27.0,62.0,67.0
/zapas/2526422,1.0,1.0,New York Islanders,Vancouver Canucks,37.0,76.0,63.0,33.0,57.0,54.0
/zapas/2526443,0.0,1.0,New York Islanders,Ottawa Senators,40.0,79.0,62.0,24.0,60.0,67.0
/zapas/2526467,1.0,0.0,New York Islanders,Florida Panthers,37.0,81.0,67.0,25.0,55.0,64.0
/zapas/2526530,0.0,1.0,New York Islanders,Dallas Stars,35.0,75.0,67.0,30.0,59.0,58.0
/zapas/2526572,0.0,1.0,New York Islanders,Detroit Red Wings,31.0,70.0,72.0,27.0,54.0,68.0
/zapas/2526614,1.0,1.0,New York Islanders,Buffalo Sabres,31.0,75.0,74.0,17.0,39.0,62.0
/zapas/2526724,1.0,0.0,New York Islanders,New York Rangers,19.0,62.0,84.0,30.0,56.0,49.0
/zapas/2526740,1.0,0.0,New York Islanders,Montreal Canadiens,19.0,64.0,84.0,30.0,57.0,53.0
/zapas/2526772,1.0,0.0,New York Islanders,Chicago Blackhawks,19.0,60.0,81.0,29.0,57.0,56.0
/zapas/2526784,0.0,0.0,New York Islanders,Arizona Coyotes,21.0,64.0,80.0,18.0,48.0,67.0
/zapas/2526817,0.0,1.0,New York Islanders,Florida Panthers,22.0,64.0,80.0,27.0,53.0,65.0
/zapas/2526880,0.0,0.0,New York Islanders,Buffalo Sabres,24.0,60.0,77.0,19.0,48.0,64.0
/zapas/2526889,1.0,1.0,New York Islanders,Detroit Red Wings,23.0,59.0,76.0,25.0,50.0,51.0
/zapas/2526912,0.0,1.0,New York Islanders,Calgary Flames,22.0,61.0,80.0,32.0,57.0,54.0
/zapas/2526934,1.0,1.0,New York Islanders,New York Rangers,20.0,59.0,81.0,20.0,48.0,71.0
/zapas/2526945,1.0,0.0,New York Islanders,Carolina Hurricanes,23.0,61.0,75.0,29.0,54.0,60.0
/zapas/2527032,0.0,0.0,New York Islanders,Montreal Canadiens,25.0,61.0,67.0,21.0,49.0,65.0
/zapas/2527045,0.0,1.0,New York Islanders,Montreal Canadiens,22.0,55.0,68.0,23.0,49.0,62.0
