game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526395,1.0,1.0,New York Rangers,Detroit Red Wings,33.0,65.0,56.0,26.0,59.0,61.0
/zapas/2526414,1.0,1.0,New York Rangers,Vancouver Canucks,32.0,65.0,57.0,32.0,56.0,55.0
/zapas/2526423,0.0,1.0,New York Rangers,Florida Panthers,34.0,68.0,57.0,21.0,54.0,68.0
/zapas/2526444,1.0,1.0,New York Rangers,Carolina Hurricanes,34.0,71.0,59.0,30.0,61.0,62.0
/zapas/2526470,1.0,0.0,New York Rangers,Pittsburgh Penguins,37.0,74.0,57.0,28.0,54.0,59.0
/zapas/2526494,0.0,0.0,New York Rangers,Washington Capitals,39.0,74.0,55.0,37.0,62.0,55.0
/zapas/2526503,1.0,1.0,New York Rangers,New Jersey Devils,38.0,73.0,55.0,31.0,56.0,62.0
/zapas/2526515,0.0,1.0,New York Rangers,Dallas Stars,38.0,74.0,55.0,31.0,59.0,58.0
/zapas/2526529,0.0,0.0,New York Rangers,Ottawa Senators,39.0,74.0,53.0,17.0,47.0,77.0
/zapas/2526547,1.0,1.0,New York Rangers,Los Angeles Kings,36.0,71.0,54.0,31.0,58.0,49.0
/zapas/2526551,1.0,0.0,New York Rangers,Boston Bruins,39.0,71.0,51.0,33.0,57.0,53.0
/zapas/2526573,1.0,1.0,New York Rangers,Anaheim Ducks,38.0,68.0,49.0,29.0,51.0,57.0
/zapas/2526584,0.0,0.0,New York Rangers,New Jersey Devils,39.0,70.0,49.0,32.0,56.0,57.0
/zapas/2526603,0.0,1.0,New York Rangers,Toronto Maple Leafs,38.0,68.0,49.0,34.0,58.0,44.0
/zapas/2526615,1.0,1.0,New York Rangers,Washington Capitals,35.0,65.0,49.0,37.0,63.0,55.0
/zapas/2526632,0.0,0.0,New York Rangers,Detroit Red Wings,34.0,62.0,47.0,21.0,52.0,73.0
/zapas/2526655,1.0,0.0,New York Rangers,Buffalo Sabres,32.0,60.0,48.0,18.0,40.0,61.0
/zapas/2526669,0.0,1.0,New York Rangers,Chicago Blackhawks,34.0,60.0,44.0,31.0,59.0,57.0
/zapas/2526693,1.0,0.0,New York Rangers,Arizona Coyotes,34.0,62.0,47.0,17.0,43.0,63.0
/zapas/2526705,0.0,0.0,New York Rangers,Vegas Golden Knights,33.0,61.0,48.0,41.0,69.0,52.0
/zapas/2526724,0.0,1.0,New York Rangers,New York Islanders,30.0,56.0,49.0,19.0,62.0,84.0
/zapas/2526733,0.0,0.0,New York Rangers,Pittsburgh Penguins,28.0,56.0,55.0,28.0,61.0,53.0
/zapas/2526742,1.0,1.0,New York Rangers,Philadelphia Flyers,26.0,54.0,57.0,37.0,63.0,55.0
/zapas/2526750,1.0,1.0,New York Rangers,Buffalo Sabres,29.0,55.0,53.0,19.0,44.0,68.0
/zapas/2526764,0.0,0.0,New York Rangers,Colorado Avalanche,29.0,54.0,55.0,38.0,70.0,54.0
/zapas/2526779,0.0,0.0,New York Rangers,Los Angeles Kings,26.0,51.0,55.0,26.0,53.0,53.0
/zapas/2526794,0.0,0.0,New York Rangers,Anaheim Ducks,26.0,51.0,55.0,35.0,56.0,49.0
/zapas/2526814,1.0,0.0,New York Rangers,San Jose Sharks,23.0,49.0,59.0,34.0,67.0,62.0
/zapas/2526833,0.0,1.0,New York Rangers,Toronto Maple Leafs,25.0,54.0,62.0,28.0,59.0,54.0
/zapas/2526854,0.0,0.0,New York Rangers,Nashville Predators,25.0,52.0,63.0,38.0,56.0,41.0
/zapas/2526864,0.0,0.0,New York Rangers,Dallas Stars,22.0,50.0,66.0,37.0,67.0,42.0
/zapas/2526878,0.0,1.0,New York Rangers,Boston Bruins,20.0,48.0,66.0,49.0,74.0,36.0
/zapas/2526890,1.0,1.0,New York Rangers,Calgary Flames,17.0,45.0,71.0,35.0,56.0,51.0
/zapas/2526907,1.0,0.0,New York Rangers,Winnipeg Jets,19.0,46.0,70.0,38.0,60.0,50.0
/zapas/2526926,0.0,0.0,New York Rangers,Minnesota Wild,22.0,47.0,68.0,38.0,63.0,53.0
/zapas/2526934,0.0,0.0,New York Rangers,New York Islanders,20.0,48.0,71.0,20.0,59.0,81.0
/zapas/2526950,0.0,0.0,New York Rangers,Ottawa Senators,19.0,46.0,71.0,20.0,52.0,73.0
/zapas/2526959,0.0,1.0,New York Rangers,Philadelphia Flyers,17.0,46.0,75.0,35.0,65.0,59.0
/zapas/2526987,0.0,0.0,New York Rangers,Montreal Canadiens,17.0,48.0,77.0,21.0,51.0,66.0
/zapas/2526995,0.0,1.0,New York Rangers,Minnesota Wild,15.0,47.0,79.0,39.0,66.0,57.0
/zapas/2527014,0.0,1.0,New York Rangers,Detroit Red Wings,15.0,47.0,81.0,25.0,50.0,54.0
/zapas/2527036,1.0,0.0,New York Rangers,Vancouver Canucks,16.0,47.0,77.0,23.0,57.0,61.0
/zapas/2527050,1.0,0.0,New York Rangers,Calgary Flames,18.0,51.0,77.0,25.0,53.0,67.0
/zapas/2527061,1.0,0.0,New York Rangers,Edmonton Oilers,18.0,49.0,77.0,24.0,62.0,70.0
/zapas/2527076,0.0,1.0,New York Rangers,Winnipeg Jets,18.0,48.0,76.0,38.0,68.0,52.0
/zapas/2527091,0.0,0.0,New York Rangers,Tampa Bay Lightning,18.0,47.0,76.0,37.0,79.0,65.0
/zapas/2527110,0.0,0.0,New York Rangers,Florida Panthers,18.0,48.0,77.0,42.0,69.0,56.0
/zapas/2527117,1.0,1.0,New York Rangers,Carolina Hurricanes,19.0,48.0,75.0,30.0,50.0,57.0
/zapas/2527133,1.0,1.0,New York Rangers,Pittsburgh Penguins,19.0,48.0,73.0,41.0,84.0,61.0
/zapas/2527159,0.0,0.0,New York Rangers,St. Louis Blues,21.0,52.0,72.0,26.0,47.0,57.0
/zapas/2527176,0.0,1.0,New York Rangers,Columbus Blue Jackets,22.0,53.0,71.0,38.0,66.0,53.0
/zapas/2527191,0.0,0.0,New York Rangers,Philadelphia Flyers,22.0,55.0,74.0,32.0,65.0,62.0
/zapas/2527213,1.0,1.0,New York Rangers,Buffalo Sabres,22.0,57.0,72.0,23.0,49.0,65.0
/zapas/2527224,0.0,1.0,New York Rangers,Washington Capitals,22.0,58.0,70.0,36.0,63.0,60.0
/zapas/2527241,0.0,0.0,New York Rangers,Washington Capitals,19.0,57.0,73.0,38.0,64.0,58.0
