game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526404,0.0,1.0,Ottawa Senators,New York Islanders,27.0,62.0,67.0,35.0,76.0,65.0
/zapas/2526432,0.0,0.0,Ottawa Senators,Montreal Canadiens,26.0,62.0,67.0,27.0,52.0,64.0
/zapas/2526443,1.0,0.0,Ottawa Senators,New York Islanders,24.0,60.0,67.0,40.0,79.0,62.0
/zapas/2526520,0.0,0.0,Ottawa Senators,Buffalo Sabres,18.0,47.0,77.0,16.0,38.0,66.0
/zapas/2526529,1.0,1.0,Ottawa Senators,New York Rangers,17.0,47.0,77.0,39.0,74.0,53.0
/zapas/2526553,1.0,1.0,Ottawa Senators,Montreal Canadiens,17.0,45.0,75.0,30.0,56.0,55.0
/zapas/2526601,0.0,0.0,Ottawa Senators,Florida Panthers,17.0,45.0,71.0,27.0,50.0,59.0
/zapas/2526668,0.0,0.0,Ottawa Senators,Detroit Red Wings,15.0,38.0,72.0,25.0,55.0,68.0
/zapas/2526710,0.0,1.0,Ottawa Senators,Chicago Blackhawks,20.0,47.0,71.0,30.0,62.0,58.0
/zapas/2526754,0.0,1.0,Ottawa Senators,St. Louis Blues,23.0,50.0,75.0,28.0,48.0,51.0
/zapas/2526790,0.0,0.0,Ottawa Senators,St. Louis Blues,20.0,48.0,74.0,25.0,47.0,54.0
/zapas/2526816,0.0,0.0,Ottawa Senators,Carolina Hurricanes,19.0,47.0,73.0,32.0,57.0,63.0
/zapas/2526860,0.0,0.0,Ottawa Senators,Montreal Canadiens,20.0,49.0,69.0,22.0,48.0,63.0
/zapas/2526936,1.0,1.0,Ottawa Senators,Buffalo Sabres,21.0,54.0,75.0,24.0,57.0,65.0
/zapas/2526950,1.0,1.0,Ottawa Senators,New York Rangers,20.0,52.0,73.0,19.0,46.0,71.0
/zapas/2526981,0.0,0.0,Ottawa Senators,Chicago Blackhawks,22.0,59.0,74.0,20.0,49.0,60.0
/zapas/2527059,0.0,0.0,Ottawa Senators,Arizona Coyotes,18.0,55.0,70.0,29.0,55.0,58.0
/zapas/2527071,1.0,0.0,Ottawa Senators,Dallas Stars,18.0,53.0,68.0,36.0,57.0,47.0
/zapas/2527089,0.0,1.0,Ottawa Senators,Buffalo Sabres,20.0,55.0,67.0,27.0,55.0,56.0
/zapas/2527099,0.0,1.0,Ottawa Senators,Calgary Flames,21.0,58.0,68.0,26.0,59.0,69.0
/zapas/2527121,1.0,0.0,Ottawa Senators,Florida Panthers,21.0,57.0,67.0,44.0,72.0,53.0
/zapas/2527147,1.0,1.0,Ottawa Senators,Dallas Stars,25.0,66.0,71.0,31.0,50.0,53.0
/zapas/2527179,0.0,1.0,Ottawa Senators,Florida Panthers,25.0,65.0,68.0,41.0,69.0,53.0
/zapas/2527194,0.0,1.0,Ottawa Senators,Edmonton Oilers,22.0,62.0,72.0,24.0,60.0,63.0
/zapas/2527209,0.0,1.0,Ottawa Senators,Carolina Hurricanes,20.0,60.0,75.0,26.0,59.0,73.0
/zapas/2527225,0.0,0.0,Ottawa Senators,Carolina Hurricanes,20.0,59.0,74.0,26.0,60.0,74.0
/zapas/2527232,0.0,1.0,Ottawa Senators,New York Islanders,20.0,57.0,72.0,16.0,51.0,69.0
/zapas/2527247,1.0,1.0,Ottawa Senators,Florida Panthers,18.0,57.0,74.0,38.0,65.0,50.0
/zapas/2527261,0.0,0.0,Ottawa Senators,Detroit Red Wings,17.0,54.0,73.0,15.0,50.0,68.0
/zapas/2527292,1.0,0.0,Ottawa Senators,Buffalo Sabres,16.0,55.0,73.0,22.0,48.0,70.0
/zapas/2647207,0.0,1.0,Ottawa Senators,Chicago Blackhawks,19.0,53.0,72.0,19.0,53.0,80.0
/zapas/2647305,1.0,1.0,Ottawa Senators,Montreal Canadiens,20.0,59.0,77.0,25.0,57.0,65.0
/zapas/2647373,0.0,0.0,Ottawa Senators,Arizona Coyotes,18.0,57.0,79.0,30.0,59.0,46.0
/zapas/2647381,1.0,1.0,Ottawa Senators,Buffalo Sabres,18.0,56.0,78.0,26.0,57.0,72.0
/zapas/2647393,0.0,0.0,Ottawa Senators,Buffalo Sabres,21.0,58.0,75.0,26.0,58.0,71.0
/zapas/2647452,0.0,0.0,Ottawa Senators,Florida Panthers,26.0,67.0,82.0,32.0,61.0,62.0
/zapas/2647479,1.0,1.0,Ottawa Senators,Detroit Red Wings,23.0,64.0,85.0,23.0,59.0,69.0
/zapas/2647510,0.0,1.0,Ottawa Senators,Florida Panthers,29.0,70.0,81.0,31.0,65.0,64.0
/zapas/2647525,0.0,0.0,Ottawa Senators,Minnesota Wild,28.0,72.0,84.0,36.0,64.0,53.0
/zapas/2647563,0.0,0.0,Ottawa Senators,New York Rangers,25.0,72.0,87.0,31.0,60.0,58.0
/zapas/2647566,1.0,0.0,Ottawa Senators,Philadelphia Flyers,25.0,70.0,84.0,27.0,60.0,67.0
/zapas/2647582,1.0,1.0,Ottawa Senators,New York Rangers,25.0,69.0,86.0,34.0,63.0,58.0
/zapas/2647619,0.0,0.0,Ottawa Senators,Montreal Canadiens,26.0,70.0,84.0,26.0,59.0,69.0
/zapas/2647631,0.0,1.0,Ottawa Senators,Montreal Canadiens,26.0,71.0,85.0,26.0,61.0,69.0
/zapas/2647688,1.0,0.0,Ottawa Senators,Detroit Red Wings,25.0,66.0,79.0,29.0,63.0,61.0
/zapas/2647694,0.0,0.0,Ottawa Senators,Montreal Canadiens,28.0,68.0,72.0,29.0,63.0,72.0
/zapas/2647740,0.0,0.0,Ottawa Senators,New Jersey Devils,26.0,64.0,73.0,20.0,55.0,77.0
/zapas/2647813,0.0,1.0,Ottawa Senators,Vancouver Canucks,17.0,56.0,78.0,28.0,57.0,55.0
/zapas/2647835,0.0,1.0,Ottawa Senators,Minnesota Wild,18.0,54.0,75.0,22.0,52.0,60.0
/zapas/2647868,1.0,0.0,Ottawa Senators,Anaheim Ducks,18.0,53.0,72.0,28.0,52.0,59.0
/zapas/2647880,1.0,0.0,Ottawa Senators,Los Angeles Kings,20.0,53.0,69.0,23.0,46.0,55.0
/zapas/2647959,0.0,1.0,Ottawa Senators,Arizona Coyotes,20.0,52.0,65.0,25.0,55.0,62.0
