game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526401,0.0,0.0,San Jose Sharks,Vegas Golden Knights,33.0,50.0,45.0,37.0,72.0,60.0
/zapas/2526410,1.0,1.0,San Jose Sharks,Winnipeg Jets,34.0,51.0,45.0,44.0,68.0,45.0
/zapas/2526424,1.0,0.0,San Jose Sharks,Philadelphia Flyers,37.0,54.0,41.0,25.0,56.0,62.0
/zapas/2526446,1.0,0.0,San Jose Sharks,Florida Panthers,37.0,54.0,40.0,24.0,56.0,68.0
/zapas/2526454,0.0,0.0,San Jose Sharks,Tampa Bay Lightning,40.0,55.0,38.0,39.0,70.0,49.0
/zapas/2526466,0.0,0.0,San Jose Sharks,Washington Capitals,37.0,52.0,41.0,33.0,57.0,59.0
/zapas/2526492,1.0,1.0,San Jose Sharks,Carolina Hurricanes,34.0,50.0,45.0,26.0,55.0,64.0
/zapas/2526507,1.0,1.0,San Jose Sharks,Ottawa Senators,36.0,52.0,44.0,21.0,53.0,75.0
/zapas/2526513,0.0,1.0,San Jose Sharks,Minnesota Wild,36.0,53.0,43.0,31.0,55.0,57.0
/zapas/2526541,1.0,0.0,San Jose Sharks,Calgary Flames,37.0,55.0,45.0,32.0,63.0,64.0
/zapas/2526549,0.0,0.0,San Jose Sharks,Vancouver Canucks,37.0,55.0,45.0,26.0,52.0,68.0
/zapas/2526569,0.0,0.0,San Jose Sharks,Edmonton Oilers,35.0,55.0,47.0,28.0,66.0,64.0
/zapas/2526592,1.0,1.0,San Jose Sharks,Vancouver Canucks,32.0,54.0,51.0,22.0,51.0,76.0
/zapas/2526611,1.0,1.0,San Jose Sharks,Los Angeles Kings,32.0,57.0,54.0,31.0,55.0,44.0
/zapas/2526629,1.0,1.0,San Jose Sharks,Calgary Flames,35.0,58.0,49.0,28.0,57.0,60.0
/zapas/2526653,0.0,0.0,San Jose Sharks,Dallas Stars,34.0,56.0,51.0,34.0,64.0,54.0
/zapas/2526660,1.0,0.0,San Jose Sharks,Montreal Canadiens,31.0,54.0,56.0,25.0,53.0,59.0
/zapas/2526673,0.0,0.0,San Jose Sharks,Toronto Maple Leafs,34.0,58.0,55.0,28.0,56.0,57.0
/zapas/2526684,0.0,0.0,San Jose Sharks,Ottawa Senators,35.0,59.0,55.0,15.0,37.0,71.0
/zapas/2526699,0.0,0.0,San Jose Sharks,Winnipeg Jets,35.0,62.0,58.0,34.0,67.0,58.0
/zapas/2526732,1.0,1.0,San Jose Sharks,Arizona Coyotes,32.0,60.0,61.0,15.0,41.0,65.0
/zapas/2526739,1.0,0.0,San Jose Sharks,Los Angeles Kings,33.0,62.0,61.0,34.0,61.0,48.0
/zapas/2526746,1.0,0.0,San Jose Sharks,Arizona Coyotes,33.0,62.0,62.0,14.0,43.0,69.0
