game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526371,1.0,1.0,St. Louis Blues,Edmonton Oilers,40.0,65.0,51.0,20.0,50.0,64.0
/zapas/2526472,1.0,0.0,St. Louis Blues,Montreal Canadiens,36.0,65.0,54.0,36.0,65.0,53.0
/zapas/2526489,1.0,1.0,St. Louis Blues,Dallas Stars,36.0,65.0,54.0,31.0,63.0,60.0
/zapas/2526498,1.0,0.0,St. Louis Blues,Detroit Red Wings,38.0,66.0,51.0,24.0,53.0,66.0
/zapas/2526511,1.0,1.0,St. Louis Blues,Buffalo Sabres,38.0,67.0,50.0,18.0,37.0,63.0
/zapas/2526582,0.0,0.0,St. Louis Blues,Calgary Flames,31.0,57.0,52.0,28.0,62.0,64.0
/zapas/2526590,0.0,0.0,St. Louis Blues,Edmonton Oilers,28.0,55.0,53.0,29.0,69.0,66.0
/zapas/2526610,1.0,0.0,St. Louis Blues,Vancouver Canucks,26.0,54.0,54.0,23.0,54.0,77.0
/zapas/2526637,0.0,0.0,St. Louis Blues,Dallas Stars,29.0,52.0,45.0,31.0,61.0,58.0
/zapas/2526644,1.0,1.0,St. Louis Blues,Carolina Hurricanes,26.0,50.0,48.0,32.0,54.0,61.0
/zapas/2526711,0.0,1.0,St. Louis Blues,Florida Panthers,27.0,44.0,49.0,30.0,50.0,60.0
/zapas/2526754,1.0,0.0,St. Louis Blues,Ottawa Senators,28.0,48.0,51.0,23.0,50.0,75.0
/zapas/2526771,0.0,1.0,St. Louis Blues,Arizona Coyotes,28.0,48.0,49.0,15.0,43.0,68.0
/zapas/2526790,1.0,1.0,St. Louis Blues,Ottawa Senators,25.0,47.0,54.0,20.0,48.0,74.0
/zapas/2526821,1.0,1.0,St. Louis Blues,Montreal Canadiens,26.0,44.0,52.0,22.0,48.0,66.0
/zapas/2526850,1.0,0.0,St. Louis Blues,Buffalo Sabres,29.0,47.0,50.0,19.0,50.0,66.0
/zapas/2526947,0.0,0.0,St. Louis Blues,Dallas Stars,33.0,56.0,55.0,38.0,65.0,45.0
/zapas/2527034,1.0,1.0,St. Louis Blues,Detroit Red Wings,25.0,49.0,61.0,27.0,52.0,52.0
/zapas/2527055,0.0,0.0,St. Louis Blues,Dallas Stars,27.0,48.0,58.0,36.0,57.0,47.0
/zapas/2527159,1.0,1.0,St. Louis Blues,New York Rangers,26.0,47.0,57.0,21.0,52.0,72.0
/zapas/2527167,1.0,0.0,St. Louis Blues,Chicago Blackhawks,25.0,48.0,59.0,16.0,51.0,73.0
/zapas/2527202,1.0,1.0,St. Louis Blues,Vancouver Canucks,26.0,51.0,60.0,17.0,52.0,66.0
/zapas/2527269,0.0,0.0,St. Louis Blues,Arizona Coyotes,26.0,49.0,59.0,33.0,53.0,51.0
/zapas/2527293,0.0,1.0,St. Louis Blues,Chicago Blackhawks,25.0,47.0,61.0,21.0,54.0,75.0
/zapas/2527309,1.0,0.0,St. Louis Blues,Chicago Blackhawks,25.0,49.0,63.0,24.0,57.0,75.0
/zapas/2732178,0.0,1.0,St. Louis Blues,Winnipeg Jets,31.0,57.0,59.0,31.0,63.0,51.0
/zapas/2732179,1.0,0.0,St. Louis Blues,Winnipeg Jets,31.0,56.0,58.0,30.0,62.0,50.0
/zapas/2732190,1.0,1.0,St. Louis Blues,Winnipeg Jets,34.0,59.0,58.0,27.0,60.0,52.0
/zapas/2748721,1.0,1.0,St. Louis Blues,Dallas Stars,34.0,55.0,58.0,25.0,56.0,60.0
/zapas/2749188,0.0,1.0,St. Louis Blues,Dallas Stars,34.0,54.0,58.0,25.0,57.0,60.0
/zapas/2749189,1.0,0.0,St. Louis Blues,Dallas Stars,34.0,55.0,58.0,28.0,59.0,58.0
/zapas/2749190,0.0,0.0,St. Louis Blues,Dallas Stars,35.0,55.0,58.0,27.0,57.0,56.0
/zapas/2749191,0.0,1.0,St. Louis Blues,Dallas Stars,33.0,52.0,58.0,29.0,59.0,55.0
/zapas/2749192,1.0,0.0,St. Louis Blues,Dallas Stars,31.0,51.0,59.0,32.0,59.0,52.0
/zapas/2749193,1.0,1.0,St. Louis Blues,Dallas Stars,31.0,51.0,59.0,32.0,57.0,52.0
/zapas/2762313,0.0,0.0,St. Louis Blues,San Jose Sharks,30.0,51.0,59.0,29.0,57.0,65.0
/zapas/2762314,1.0,0.0,St. Louis Blues,San Jose Sharks,28.0,51.0,63.0,32.0,63.0,61.0
/zapas/2762315,0.0,1.0,St. Louis Blues,San Jose Sharks,30.0,52.0,61.0,30.0,61.0,62.0
/zapas/2762316,1.0,1.0,St. Louis Blues,San Jose Sharks,31.0,56.0,60.0,31.0,63.0,62.0
/zapas/2762317,1.0,0.0,St. Louis Blues,San Jose Sharks,34.0,56.0,57.0,28.0,60.0,64.0
/zapas/2762328,1.0,1.0,St. Louis Blues,San Jose Sharks,37.0,58.0,53.0,28.0,57.0,64.0
/zapas/2774830,0.0,0.0,St. Louis Blues,Boston Bruins,37.0,59.0,53.0,37.0,62.0,44.0
/zapas/2774831,1.0,0.0,St. Louis Blues,Boston Bruins,37.0,59.0,52.0,40.0,65.0,42.0
/zapas/2774832,0.0,1.0,St. Louis Blues,Boston Bruins,36.0,60.0,53.0,40.0,64.0,41.0
/zapas/2774833,1.0,1.0,St. Louis Blues,Boston Bruins,33.0,58.0,57.0,43.0,70.0,40.0
/zapas/2774834,1.0,0.0,St. Louis Blues,Boston Bruins,36.0,59.0,53.0,43.0,71.0,40.0
/zapas/2774835,0.0,1.0,St. Louis Blues,Boston Bruins,38.0,60.0,52.0,40.0,68.0,41.0
/zapas/2774836,1.0,0.0,St. Louis Blues,Boston Bruins,35.0,58.0,55.0,43.0,71.0,39.0
/zapas/2891096,0.0,1.0,St. Louis Blues,Vancouver Canucks,35.0,59.0,54.0,30.0,57.0,58.0
/zapas/2891097,0.0,1.0,St. Louis Blues,Vancouver Canucks,32.0,58.0,57.0,31.0,59.0,58.0
/zapas/2891098,1.0,0.0,St. Louis Blues,Vancouver Canucks,33.0,59.0,57.0,33.0,61.0,58.0
/zapas/2891099,1.0,0.0,St. Louis Blues,Vancouver Canucks,32.0,58.0,56.0,34.0,61.0,55.0
