game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2891047,1.0,1.0,Tampa Bay Lightning,Columbus Blue Jackets,29.0,53.0,65.0,31.0,56.0,56.0
/zapas/2891048,0.0,1.0,Tampa Bay Lightning,Columbus Blue Jackets,28.0,51.0,64.0,30.0,53.0,55.0
/zapas/2891049,1.0,0.0,Tampa Bay Lightning,Columbus Blue Jackets,28.0,50.0,62.0,32.0,54.0,53.0
/zapas/2891050,1.0,0.0,Tampa Bay Lightning,Columbus Blue Jackets,28.0,50.0,63.0,32.0,55.0,52.0
/zapas/2891051,1.0,1.0,Tampa Bay Lightning,Columbus Blue Jackets,28.0,49.0,63.0,31.0,53.0,50.0
/zapas/2891125,0.0,1.0,Tampa Bay Lightning,Boston Bruins,30.0,52.0,61.0,42.0,66.0,40.0
/zapas/2891126,1.0,1.0,Tampa Bay Lightning,Boston Bruins,27.0,50.0,62.0,45.0,68.0,40.0
/zapas/2891127,1.0,0.0,Tampa Bay Lightning,Boston Bruins,26.0,50.0,64.0,43.0,67.0,43.0
/zapas/2891128,1.0,0.0,Tampa Bay Lightning,Boston Bruins,27.0,53.0,62.0,40.0,64.0,47.0
/zapas/2891129,1.0,1.0,Tampa Bay Lightning,Boston Bruins,27.0,53.0,62.0,37.0,62.0,50.0
/zapas/2892203,1.0,1.0,Tampa Bay Lightning,New York Islanders,29.0,54.0,60.0,36.0,59.0,44.0
/zapas/2892210,1.0,1.0,Tampa Bay Lightning,New York Islanders,32.0,60.0,56.0,35.0,61.0,51.0
/zapas/2892211,0.0,0.0,Tampa Bay Lightning,New York Islanders,32.0,58.0,55.0,35.0,61.0,51.0
/zapas/2892212,1.0,0.0,Tampa Bay Lightning,New York Islanders,29.0,57.0,58.0,38.0,64.0,49.0
/zapas/2892213,0.0,1.0,Tampa Bay Lightning,New York Islanders,29.0,58.0,57.0,38.0,63.0,48.0
/zapas/2892214,1.0,0.0,Tampa Bay Lightning,New York Islanders,30.0,59.0,56.0,37.0,63.0,48.0
/zapas/2892642,0.0,1.0,Tampa Bay Lightning,Dallas Stars,32.0,61.0,53.0,33.0,60.0,60.0
/zapas/2892643,1.0,1.0,Tampa Bay Lightning,Dallas Stars,32.0,59.0,53.0,36.0,63.0,57.0
/zapas/2892644,1.0,0.0,Tampa Bay Lightning,Dallas Stars,35.0,61.0,50.0,35.0,64.0,58.0
/zapas/2892645,1.0,0.0,Tampa Bay Lightning,Dallas Stars,38.0,65.0,49.0,35.0,64.0,60.0
/zapas/2892646,0.0,1.0,Tampa Bay Lightning,Dallas Stars,40.0,67.0,46.0,33.0,63.0,61.0
/zapas/2892647,1.0,0.0,Tampa Bay Lightning,Dallas Stars,39.0,66.0,47.0,35.0,66.0,61.0
/zapas/2894357,1.0,0.0,Tampa Bay Lightning,Florida Panthers,42.0,67.0,44.0,28.0,65.0,66.0
/zapas/2894358,1.0,0.0,Tampa Bay Lightning,Florida Panthers,42.0,69.0,46.0,28.0,66.0,67.0
/zapas/2894359,0.0,1.0,Tampa Bay Lightning,Florida Panthers,42.0,70.0,46.0,25.0,61.0,68.0
/zapas/2894360,1.0,1.0,Tampa Bay Lightning,Florida Panthers,41.0,70.0,48.0,24.0,61.0,72.0
/zapas/2894361,0.0,0.0,Tampa Bay Lightning,Florida Panthers,44.0,74.0,47.0,21.0,59.0,76.0
/zapas/2894362,1.0,1.0,Tampa Bay Lightning,Florida Panthers,42.0,71.0,48.0,21.0,59.0,74.0
/zapas/2894896,1.0,0.0,Tampa Bay Lightning,Carolina Hurricanes,42.0,68.0,47.0,31.0,59.0,56.0
/zapas/2894903,1.0,0.0,Tampa Bay Lightning,Carolina Hurricanes,42.0,67.0,47.0,28.0,55.0,56.0
/zapas/2894904,0.0,1.0,Tampa Bay Lightning,Carolina Hurricanes,43.0,66.0,46.0,25.0,51.0,56.0
