game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526352,1.0,0.0,Toronto Maple Leafs,Montreal Canadiens,34.0,73.0,63.0,23.0,51.0,68.0
/zapas/2526365,0.0,1.0,Toronto Maple Leafs,Arizona Coyotes,34.0,72.0,61.0,11.0,49.0,78.0
/zapas/2526375,0.0,0.0,Toronto Maple Leafs,Florida Panthers,31.0,65.0,60.0,22.0,61.0,72.0
/zapas/2526397,1.0,0.0,Toronto Maple Leafs,Carolina Hurricanes,30.0,62.0,59.0,30.0,58.0,59.0
/zapas/2526402,0.0,1.0,Toronto Maple Leafs,Washington Capitals,33.0,64.0,57.0,30.0,54.0,61.0
/zapas/2526428,1.0,0.0,Toronto Maple Leafs,Calgary Flames,31.0,62.0,58.0,29.0,61.0,66.0
/zapas/2526441,1.0,0.0,Toronto Maple Leafs,Edmonton Oilers,31.0,64.0,59.0,25.0,56.0,62.0
/zapas/2526452,0.0,0.0,Toronto Maple Leafs,Vancouver Canucks,31.0,64.0,60.0,33.0,58.0,56.0
/zapas/2526480,1.0,1.0,Toronto Maple Leafs,Calgary Flames,31.0,62.0,56.0,27.0,62.0,69.0
/zapas/2526504,1.0,0.0,Toronto Maple Leafs,Pittsburgh Penguins,30.0,61.0,55.0,28.0,58.0,58.0
/zapas/2526512,1.0,1.0,Toronto Maple Leafs,Edmonton Oilers,33.0,62.0,52.0,25.0,66.0,70.0
/zapas/2526522,0.0,0.0,Toronto Maple Leafs,Philadelphia Flyers,36.0,61.0,48.0,25.0,53.0,62.0
/zapas/2526538,0.0,0.0,Toronto Maple Leafs,Minnesota Wild,36.0,61.0,49.0,32.0,58.0,58.0
/zapas/2526548,0.0,0.0,Toronto Maple Leafs,Detroit Red Wings,33.0,58.0,50.0,26.0,54.0,69.0
/zapas/2526570,1.0,1.0,Toronto Maple Leafs,Carolina Hurricanes,33.0,56.0,48.0,30.0,58.0,61.0
/zapas/2526580,0.0,0.0,Toronto Maple Leafs,Columbus Blue Jackets,36.0,60.0,43.0,29.0,49.0,55.0
/zapas/2526603,1.0,0.0,Toronto Maple Leafs,New York Rangers,34.0,58.0,44.0,38.0,68.0,49.0
/zapas/2526626,1.0,0.0,Toronto Maple Leafs,Arizona Coyotes,34.0,57.0,44.0,20.0,43.0,59.0
/zapas/2526638,0.0,0.0,Toronto Maple Leafs,Colorado Avalanche,35.0,61.0,46.0,27.0,59.0,61.0
/zapas/2526647,0.0,0.0,Toronto Maple Leafs,Vegas Golden Knights,33.0,60.0,49.0,41.0,69.0,57.0
/zapas/2526658,0.0,1.0,Toronto Maple Leafs,Tampa Bay Lightning,31.0,62.0,55.0,39.0,73.0,47.0
/zapas/2526673,1.0,1.0,Toronto Maple Leafs,San Jose Sharks,28.0,56.0,57.0,34.0,58.0,55.0
/zapas/2526692,1.0,1.0,Toronto Maple Leafs,Vancouver Canucks,30.0,58.0,55.0,22.0,55.0,75.0
/zapas/2526706,0.0,1.0,Toronto Maple Leafs,Columbus Blue Jackets,31.0,60.0,55.0,26.0,50.0,64.0
/zapas/2526714,0.0,1.0,Toronto Maple Leafs,Ottawa Senators,29.0,57.0,54.0,20.0,47.0,74.0
/zapas/2526743,0.0,1.0,Toronto Maple Leafs,St. Louis Blues,29.0,58.0,54.0,27.0,47.0,52.0
/zapas/2526751,0.0,0.0,Toronto Maple Leafs,Philadelphia Flyers,27.0,55.0,55.0,36.0,60.0,55.0
/zapas/2526767,1.0,0.0,Toronto Maple Leafs,Ottawa Senators,25.0,51.0,54.0,23.0,50.0,77.0
/zapas/2526781,0.0,1.0,Toronto Maple Leafs,Colorado Avalanche,28.0,54.0,55.0,41.0,71.0,48.0
/zapas/2526798,1.0,0.0,Toronto Maple Leafs,Chicago Blackhawks,26.0,54.0,58.0,28.0,57.0,59.0
/zapas/2526808,1.0,0.0,Toronto Maple Leafs,Dallas Stars,25.0,53.0,57.0,36.0,68.0,46.0
/zapas/2526827,1.0,1.0,Toronto Maple Leafs,New York Islanders,25.0,56.0,58.0,22.0,63.0,79.0
/zapas/2526833,1.0,0.0,Toronto Maple Leafs,New York Rangers,28.0,59.0,54.0,25.0,54.0,62.0
/zapas/2526849,0.0,0.0,Toronto Maple Leafs,Boston Bruins,31.0,63.0,52.0,47.0,76.0,38.0
/zapas/2526862,1.0,1.0,Toronto Maple Leafs,Anaheim Ducks,31.0,63.0,53.0,33.0,59.0,54.0
/zapas/2526877,1.0,1.0,Toronto Maple Leafs,Nashville Predators,31.0,62.0,56.0,37.0,55.0,46.0
/zapas/2526898,1.0,1.0,Toronto Maple Leafs,Ottawa Senators,33.0,63.0,54.0,21.0,49.0,69.0
/zapas/2526915,1.0,1.0,Toronto Maple Leafs,Tampa Bay Lightning,33.0,66.0,55.0,36.0,65.0,58.0
/zapas/2526930,1.0,1.0,Toronto Maple Leafs,Columbus Blue Jackets,33.0,63.0,54.0,22.0,48.0,58.0
/zapas/2526954,0.0,0.0,Toronto Maple Leafs,Pittsburgh Penguins,35.0,66.0,53.0,42.0,75.0,51.0
/zapas/2526963,1.0,0.0,Toronto Maple Leafs,Detroit Red Wings,35.0,66.0,52.0,29.0,53.0,53.0
/zapas/2526972,1.0,1.0,Toronto Maple Leafs,Florida Panthers,38.0,69.0,52.0,33.0,63.0,66.0
/zapas/2526984,1.0,1.0,Toronto Maple Leafs,New York Islanders,39.0,67.0,50.0,26.0,62.0,69.0
/zapas/2527003,1.0,1.0,Toronto Maple Leafs,Boston Bruins,39.0,68.0,51.0,45.0,72.0,47.0
/zapas/2527020,0.0,0.0,Toronto Maple Leafs,Tampa Bay Lightning,41.0,70.0,51.0,34.0,68.0,64.0
/zapas/2527026,0.0,0.0,Toronto Maple Leafs,Florida Panthers,42.0,70.0,51.0,33.0,66.0,67.0
/zapas/2527060,0.0,0.0,Toronto Maple Leafs,Washington Capitals,42.0,71.0,52.0,31.0,62.0,67.0
/zapas/2527069,0.0,0.0,Toronto Maple Leafs,Buffalo Sabres,41.0,71.0,54.0,26.0,52.0,56.0
/zapas/2527109,1.0,1.0,Toronto Maple Leafs,Pittsburgh Penguins,38.0,70.0,56.0,41.0,83.0,58.0
/zapas/2527132,1.0,1.0,Toronto Maple Leafs,Dallas Stars,41.0,73.0,54.0,30.0,45.0,50.0
/zapas/2527137,1.0,0.0,Toronto Maple Leafs,Buffalo Sabres,41.0,76.0,57.0,24.0,51.0,61.0
/zapas/2527155,1.0,1.0,Toronto Maple Leafs,Montreal Canadiens,41.0,77.0,58.0,24.0,52.0,65.0
/zapas/2527181,0.0,0.0,Toronto Maple Leafs,Tampa Bay Lightning,41.0,76.0,58.0,34.0,73.0,68.0
/zapas/2527196,1.0,0.0,Toronto Maple Leafs,Nashville Predators,38.0,75.0,62.0,46.0,73.0,44.0
/zapas/2527207,1.0,1.0,Toronto Maple Leafs,Detroit Red Wings,41.0,79.0,60.0,15.0,42.0,64.0
/zapas/2527222,0.0,1.0,Toronto Maple Leafs,Buffalo Sabres,41.0,76.0,59.0,20.0,46.0,68.0
/zapas/2527240,1.0,1.0,Toronto Maple Leafs,Florida Panthers,39.0,75.0,60.0,41.0,68.0,49.0
/zapas/2527254,1.0,0.0,Toronto Maple Leafs,New York Islanders,39.0,73.0,60.0,19.0,53.0,69.0
/zapas/2527263,0.0,1.0,Toronto Maple Leafs,Winnipeg Jets,39.0,74.0,61.0,39.0,74.0,52.0
/zapas/2527277,1.0,1.0,Toronto Maple Leafs,Buffalo Sabres,36.0,69.0,61.0,22.0,48.0,69.0
/zapas/2527295,0.0,0.0,Toronto Maple Leafs,New Jersey Devils,39.0,71.0,58.0,35.0,62.0,55.0
/zapas/2527314,1.0,1.0,Toronto Maple Leafs,Montreal Canadiens,36.0,69.0,58.0,22.0,50.0,67.0
/zapas/2647199,1.0,1.0,Toronto Maple Leafs,Montreal Canadiens,36.0,72.0,60.0,21.0,52.0,70.0
/zapas/2647218,0.0,1.0,Toronto Maple Leafs,Ottawa Senators,36.0,71.0,59.0,17.0,51.0,72.0
/zapas/2647228,1.0,0.0,Toronto Maple Leafs,Chicago Blackhawks,33.0,70.0,61.0,23.0,58.0,77.0
/zapas/2647239,1.0,0.0,Toronto Maple Leafs,Dallas Stars,34.0,74.0,63.0,25.0,53.0,57.0
/zapas/2647250,1.0,0.0,Toronto Maple Leafs,Detroit Red Wings,36.0,79.0,64.0,16.0,53.0,72.0
/zapas/2647263,1.0,0.0,Toronto Maple Leafs,Washington Capitals,39.0,82.0,62.0,41.0,74.0,57.0
/zapas/2647272,1.0,1.0,Toronto Maple Leafs,Los Angeles Kings,42.0,83.0,59.0,32.0,55.0,49.0
/zapas/2647288,0.0,1.0,Toronto Maple Leafs,Pittsburgh Penguins,42.0,82.0,58.0,33.0,70.0,67.0
