game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526370,1.0,0.0,Vancouver Canucks,Philadelphia Flyers,30.0,51.0,57.0,27.0,56.0,56.0
/zapas/2526378,1.0,0.0,Vancouver Canucks,Pittsburgh Penguins,30.0,53.0,57.0,31.0,54.0,60.0
/zapas/2526394,0.0,0.0,Vancouver Canucks,New Jersey Devils,32.0,56.0,56.0,33.0,65.0,65.0
/zapas/2526414,0.0,0.0,Vancouver Canucks,New York Rangers,32.0,56.0,55.0,32.0,65.0,57.0
/zapas/2526422,0.0,0.0,Vancouver Canucks,New York Islanders,33.0,57.0,54.0,37.0,76.0,63.0
/zapas/2526437,1.0,0.0,Vancouver Canucks,Nashville Predators,30.0,56.0,59.0,39.0,63.0,54.0
/zapas/2526452,1.0,1.0,Vancouver Canucks,Toronto Maple Leafs,33.0,58.0,56.0,31.0,64.0,60.0
/zapas/2526477,1.0,1.0,Vancouver Canucks,Carolina Hurricanes,33.0,56.0,55.0,26.0,58.0,65.0
/zapas/2526490,0.0,1.0,Vancouver Canucks,Philadelphia Flyers,33.0,55.0,54.0,22.0,51.0,67.0
/zapas/2526508,0.0,0.0,Vancouver Canucks,Calgary Flames,30.0,55.0,58.0,28.0,61.0,67.0
/zapas/2526518,0.0,0.0,Vancouver Canucks,Winnipeg Jets,27.0,51.0,60.0,38.0,71.0,55.0
/zapas/2526532,0.0,1.0,Vancouver Canucks,Nashville Predators,26.0,51.0,63.0,40.0,72.0,60.0
/zapas/2526549,1.0,1.0,Vancouver Canucks,San Jose Sharks,26.0,52.0,68.0,37.0,55.0,45.0
/zapas/2526563,0.0,1.0,Vancouver Canucks,Calgary Flames,25.0,52.0,69.0,27.0,61.0,67.0
/zapas/2526578,0.0,1.0,Vancouver Canucks,Montreal Canadiens,25.0,51.0,72.0,30.0,53.0,52.0
/zapas/2526592,0.0,0.0,Vancouver Canucks,San Jose Sharks,22.0,51.0,76.0,32.0,54.0,51.0
/zapas/2526610,0.0,1.0,Vancouver Canucks,St. Louis Blues,23.0,54.0,77.0,26.0,54.0,54.0
/zapas/2526627,1.0,1.0,Vancouver Canucks,Chicago Blackhawks,23.0,55.0,75.0,30.0,60.0,58.0
/zapas/2526646,0.0,1.0,Vancouver Canucks,Los Angeles Kings,23.0,57.0,75.0,32.0,54.0,44.0
/zapas/2526667,0.0,1.0,Vancouver Canucks,Anaheim Ducks,23.0,58.0,74.0,28.0,51.0,59.0
/zapas/2526692,0.0,0.0,Vancouver Canucks,Toronto Maple Leafs,22.0,55.0,75.0,30.0,58.0,55.0
/zapas/2526703,0.0,0.0,Vancouver Canucks,Montreal Canadiens,20.0,52.0,76.0,27.0,52.0,53.0
/zapas/2526707,0.0,0.0,Vancouver Canucks,Washington Capitals,17.0,49.0,79.0,42.0,70.0,50.0
/zapas/2526719,1.0,0.0,Vancouver Canucks,Columbus Blue Jackets,17.0,48.0,79.0,26.0,50.0,64.0
/zapas/2526736,1.0,0.0,Vancouver Canucks,Minnesota Wild,19.0,50.0,77.0,33.0,55.0,52.0
/zapas/2526774,0.0,0.0,Vancouver Canucks,Edmonton Oilers,21.0,51.0,74.0,29.0,55.0,60.0
/zapas/2526777,0.0,0.0,Vancouver Canucks,Winnipeg Jets,18.0,48.0,76.0,32.0,61.0,57.0
/zapas/2526795,1.0,1.0,Vancouver Canucks,Los Angeles Kings,15.0,46.0,76.0,26.0,53.0,54.0
/zapas/2526812,0.0,1.0,Vancouver Canucks,Buffalo Sabres,15.0,49.0,78.0,21.0,50.0,67.0
/zapas/2526826,1.0,1.0,Vancouver Canucks,Colorado Avalanche,15.0,48.0,78.0,41.0,67.0,45.0
/zapas/2526841,1.0,1.0,Vancouver Canucks,Chicago Blackhawks,17.0,50.0,77.0,30.0,58.0,55.0
/zapas/2526856,0.0,1.0,Vancouver Canucks,Tampa Bay Lightning,20.0,53.0,74.0,35.0,66.0,57.0
/zapas/2526872,0.0,0.0,Vancouver Canucks,Florida Panthers,20.0,54.0,71.0,31.0,53.0,58.0
/zapas/2526884,0.0,0.0,Vancouver Canucks,Tampa Bay Lightning,18.0,51.0,71.0,35.0,63.0,56.0
/zapas/2526893,0.0,0.0,Vancouver Canucks,Carolina Hurricanes,18.0,52.0,70.0,29.0,49.0,57.0
/zapas/2526909,1.0,0.0,Vancouver Canucks,Dallas Stars,18.0,48.0,67.0,40.0,69.0,42.0
/zapas/2526932,0.0,1.0,Vancouver Canucks,Florida Panthers,20.0,50.0,62.0,36.0,59.0,57.0
/zapas/2526943,0.0,0.0,Vancouver Canucks,San Jose Sharks,20.0,52.0,63.0,28.0,64.0,65.0
/zapas/2526957,1.0,1.0,Vancouver Canucks,Boston Bruins,17.0,48.0,65.0,47.0,79.0,43.0
/zapas/2526980,0.0,1.0,Vancouver Canucks,Colorado Avalanche,20.0,51.0,62.0,35.0,56.0,53.0
/zapas/2526999,0.0,0.0,Vancouver Canucks,Vegas Golden Knights,21.0,55.0,62.0,37.0,68.0,51.0
/zapas/2527017,1.0,0.0,Vancouver Canucks,Arizona Coyotes,20.0,56.0,65.0,29.0,53.0,56.0
/zapas/2527021,0.0,0.0,Vancouver Canucks,Colorado Avalanche,23.0,57.0,61.0,30.0,52.0,61.0
/zapas/2527036,0.0,1.0,Vancouver Canucks,New York Rangers,23.0,57.0,61.0,16.0,47.0,77.0
/zapas/2527051,0.0,1.0,Vancouver Canucks,Nashville Predators,21.0,57.0,65.0,41.0,74.0,48.0
/zapas/2527073,1.0,1.0,Vancouver Canucks,New York Islanders,20.0,57.0,67.0,21.0,54.0,69.0
/zapas/2527085,0.0,1.0,Vancouver Canucks,Arizona Coyotes,22.0,59.0,65.0,32.0,53.0,53.0
/zapas/2527101,0.0,1.0,Vancouver Canucks,Minnesota Wild,22.0,60.0,66.0,39.0,72.0,59.0
/zapas/2527116,0.0,0.0,Vancouver Canucks,Arizona Coyotes,19.0,56.0,69.0,33.0,53.0,53.0
/zapas/2527123,0.0,0.0,Vancouver Canucks,Los Angeles Kings,19.0,56.0,66.0,34.0,60.0,53.0
/zapas/2527136,0.0,0.0,Vancouver Canucks,Anaheim Ducks,17.0,52.0,66.0,31.0,54.0,52.0
/zapas/2527161,0.0,1.0,Vancouver Canucks,San Jose Sharks,14.0,48.0,67.0,35.0,65.0,55.0
/zapas/2527184,0.0,0.0,Vancouver Canucks,Vegas Golden Knights,14.0,49.0,68.0,33.0,67.0,59.0
/zapas/2527197,1.0,0.0,Vancouver Canucks,Chicago Blackhawks,14.0,49.0,69.0,17.0,52.0,76.0
/zapas/2527202,0.0,0.0,Vancouver Canucks,St. Louis Blues,17.0,52.0,66.0,26.0,51.0,60.0
/zapas/2527218,1.0,0.0,Vancouver Canucks,Dallas Stars,17.0,52.0,66.0,20.0,43.0,62.0
/zapas/2527239,1.0,1.0,Vancouver Canucks,Anaheim Ducks,17.0,50.0,67.0,37.0,59.0,43.0
/zapas/2527252,1.0,1.0,Vancouver Canucks,Edmonton Oilers,20.0,51.0,64.0,31.0,66.0,61.0
