game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526392,1.0,1.0,Washington Capitals,Tampa Bay Lightning,27.0,53.0,63.0,44.0,78.0,51.0
/zapas/2526402,1.0,0.0,Washington Capitals,Toronto Maple Leafs,30.0,54.0,61.0,33.0,64.0,57.0
/zapas/2526435,0.0,1.0,Washington Capitals,Los Angeles Kings,30.0,53.0,61.0,28.0,57.0,48.0
/zapas/2526456,1.0,1.0,Washington Capitals,Columbus Blue Jackets,30.0,53.0,58.0,31.0,55.0,49.0
/zapas/2526466,1.0,1.0,Washington Capitals,San Jose Sharks,33.0,57.0,59.0,37.0,52.0,41.0
/zapas/2526481,1.0,1.0,Washington Capitals,Chicago Blackhawks,34.0,57.0,57.0,27.0,55.0,55.0
/zapas/2526494,1.0,1.0,Washington Capitals,New York Rangers,37.0,62.0,55.0,39.0,74.0,55.0
/zapas/2526514,0.0,0.0,Washington Capitals,New York Islanders,40.0,64.0,51.0,32.0,76.0,72.0
/zapas/2526523,1.0,1.0,Washington Capitals,Colorado Avalanche,37.0,60.0,52.0,26.0,64.0,71.0
/zapas/2526533,1.0,0.0,Washington Capitals,Boston Bruins,40.0,64.0,52.0,34.0,55.0,50.0
/zapas/2526556,1.0,1.0,Washington Capitals,Anaheim Ducks,40.0,65.0,52.0,29.0,50.0,56.0
/zapas/2526576,1.0,0.0,Washington Capitals,Dallas Stars,39.0,65.0,52.0,29.0,58.0,60.0
/zapas/2526596,0.0,0.0,Washington Capitals,Arizona Coyotes,39.0,66.0,53.0,16.0,39.0,60.0
/zapas/2526607,0.0,0.0,Washington Capitals,Vegas Golden Knights,40.0,67.0,53.0,37.0,69.0,63.0
/zapas/2526615,0.0,0.0,Washington Capitals,New York Rangers,37.0,63.0,55.0,35.0,65.0,49.0
/zapas/2526623,1.0,1.0,Washington Capitals,Boston Bruins,36.0,61.0,55.0,40.0,63.0,43.0
