team,code,team_short
Anaheim Ducks,/klub/2004,ANA
Arizona Coyotes,/klub/2005,ARI
Boston Bruins,/klub/1987,BOS
Buffalo Sabres,/klub/1989,BUF
Calgary Flames,/klub/2006,CGY
Carolina Hurricanes,/klub/1990,CAR
Chicago Blackhawks,/klub/2007,CHI
Colorado Avalanche,/klub/2008,COL
Columbus Blue Jackets,/klub/1991,CBJ
Dallas Stars,/klub/2009,DAL
Detroit Red Wings,/klub/1992,DET
Edmonton Oilers,/klub/2010,EDM
Florida Panthers,/klub/1993,FLA
Los Angeles Kings,/klub/2011,LAK
Minnesota Wild,/klub/2012,MIN
Montreal Canadiens,/klub/1994,MTL
Nashville Predators,/klub/2013,NSH
New Jersey Devils,/klub/1995,NJD
New York Islanders,/klub/1996,NYI
New York Rangers,/klub/1997,NYR
Ottawa Senators,/klub/1998,OTT
Philadelphia Flyers,/klub/1999,PHI
Pittsburgh Penguins,/klub/2000,PIT
San Jose Sharks,/klub/2014,SJS
Seattle Kraken,/klub/2730,SEA
St. Louis Blues,/klub/2015,STL
Tampa Bay Lightning,/klub/2001,TBL
Toronto Maple Leafs,/klub/2002,TOR
Vancouver Canucks,/klub/2016,VAN
Vegas Golden Knights,/klub/2655,VGK
Washington Capitals,/klub/2003,WSH
Winnipeg Jets,/klub/2017,WPG
