game_id,team_home,team_away,goals_home,goals_away,OT,points_home,points_away,TOI_home,TOI_points,TOI_goals_scored,TOI_goals_rec,TOI_result,other_team,TOI,season
/zapas/2526062,Ottawa Senators,Washington Capitals,4,5,1,1.0,2.0,1.0,1.0,4.0,5.0,0.0,Washington Capitals,Ottawa Senators,2017
/zapas/2526074,Ottawa Senators,Detroit Red Wings,1,2,1,1.0,2.0,1.0,1.0,1.0,2.0,0.0,Detroit Red Wings,Ottawa Senators,2017
/zapas/2526098,Vancouver Canucks,Ottawa Senators,2,3,1,1.0,2.0,0.0,2.0,3.0,2.0,1.0,Vancouver Canucks,Ottawa Senators,2017
/zapas/2526115,Calgary Flames,Ottawa Senators,0,6,0,0.0,3.0,0.0,3.0,6.0,0.0,1.0,Calgary Flames,Ottawa Senators,2017
/zapas/2526128,Edmonton Oilers,Ottawa Senators,1,6,0,0.0,3.0,0.0,3.0,6.0,1.0,1.0,Edmonton Oilers,Ottawa Senators,2017
/zapas/2526139,Ottawa Senators,Vancouver Canucks,0,3,0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,Vancouver Canucks,Ottawa Senators,2017
/zapas/2526153,Ottawa Senators,New Jersey Devils,4,5,1,1.0,2.0,1.0,1.0,4.0,5.0,0.0,New Jersey Devils,Ottawa Senators,2017
/zapas/2526168,Ottawa Senators,Toronto Maple Leafs,6,3,0,3.0,0.0,1.0,3.0,6.0,3.0,1.0,Toronto Maple Leafs,Ottawa Senators,2017
/zapas/2526185,Ottawa Senators,Los Angeles Kings,2,3,1,1.0,2.0,1.0,1.0,2.0,3.0,0.0,Los Angeles Kings,Ottawa Senators,2017
/zapas/2526196,Ottawa Senators,Philadelphia Flyers,5,4,0,3.0,0.0,1.0,3.0,5.0,4.0,1.0,Philadelphia Flyers,Ottawa Senators,2017
/zapas/2526204,New Jersey Devils,Ottawa Senators,5,4,1,2.0,1.0,0.0,1.0,4.0,5.0,0.0,New Jersey Devils,Ottawa Senators,2017
/zapas/2526227,Ottawa Senators,Montreal Canadiens,3,8,0,0.0,3.0,1.0,0.0,3.0,8.0,0.0,Montreal Canadiens,Ottawa Senators,2017
/zapas/2526242,Ottawa Senators,Detroit Red Wings,3,1,0,3.0,0.0,1.0,3.0,3.0,1.0,1.0,Detroit Red Wings,Ottawa Senators,2017
/zapas/2526254,Ottawa Senators,Vegas Golden Knights,4,5,0,0.0,3.0,1.0,0.0,4.0,5.0,0.0,Vegas Golden Knights,Ottawa Senators,2017
/zapas/2526301,Colorado Avalanche,Ottawa Senators,3,4,1,1.0,2.0,0.0,2.0,4.0,3.0,1.0,Colorado Avalanche,Ottawa Senators,2017
/zapas/2526306,Ottawa Senators,Colorado Avalanche,4,3,0,3.0,0.0,1.0,3.0,4.0,3.0,1.0,Colorado Avalanche,Ottawa Senators,2017
/zapas/2526335,Ottawa Senators,Pittsburgh Penguins,1,3,0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,Pittsburgh Penguins,Ottawa Senators,2017
/zapas/2526348,Ottawa Senators,Arizona Coyotes,2,3,1,1.0,2.0,1.0,1.0,2.0,3.0,0.0,Arizona Coyotes,Ottawa Senators,2017
/zapas/2526361,New York Rangers,Ottawa Senators,3,0,0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,New York Rangers,Ottawa Senators,2017
/zapas/2526379,Washington Capitals,Ottawa Senators,5,2,0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,Washington Capitals,Ottawa Senators,2017
/zapas/2526396,Columbus Blue Jackets,Ottawa Senators,5,2,0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,Columbus Blue Jackets,Ottawa Senators,2017
/zapas/2526404,Ottawa Senators,New York Islanders,1,2,0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,New York Islanders,Ottawa Senators,2017
/zapas/2526432,Montreal Canadiens,Ottawa Senators,2,1,0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,Montreal Canadiens,Ottawa Senators,2017
/zapas/2526443,New York Islanders,Ottawa Senators,5,6,0,0.0,3.0,0.0,3.0,6.0,5.0,1.0,New York Islanders,Ottawa Senators,2017
/zapas/2526463,Winnipeg Jets,Ottawa Senators,5,0,0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,Winnipeg Jets,Ottawa Senators,2017
/zapas/2526483,Anaheim Ducks,Ottawa Senators,3,0,0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,Anaheim Ducks,Ottawa Senators,2017
/zapas/2526491,Los Angeles Kings,Ottawa Senators,4,3,1,2.0,1.0,0.0,1.0,3.0,4.0,0.0,Los Angeles Kings,Ottawa Senators,2017
/zapas/2526507,San Jose Sharks,Ottawa Senators,5,0,0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,San Jose Sharks,Ottawa Senators,2017
/zapas/2526520,Buffalo Sabres,Ottawa Senators,3,2,0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,Buffalo Sabres,Ottawa Senators,2017
/zapas/2526529,Ottawa Senators,New York Rangers,3,2,0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,New York Rangers,Ottawa Senators,2017
/zapas/2526553,Ottawa Senators,Montreal Canadiens,3,0,0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,Montreal Canadiens,Ottawa Senators,2017
/zapas/2526574,Ottawa Senators,Minnesota Wild,4,6,0,0.0,3.0,1.0,0.0,4.0,6.0,0.0,Minnesota Wild,Ottawa Senators,2017
/zapas/2526587,Tampa Bay Lightning,Ottawa Senators,4,3,1,2.0,1.0,0.0,1.0,3.0,4.0,0.0,Tampa Bay Lightning,Ottawa Senators,2017
/zapas/2526601,Florida Panthers,Ottawa Senators,1,0,0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Florida Panthers,Ottawa Senators,2017
/zapas/2526612,Boston Bruins,Ottawa Senators,5,1,0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,Boston Bruins,Ottawa Senators,2017
/zapas/2526631,Ottawa Senators,Columbus Blue Jackets,5,4,0,3.0,0.0,1.0,3.0,5.0,4.0,1.0,Columbus Blue Jackets,Ottawa Senators,2017
/zapas/2526641,Ottawa Senators,Boston Bruins,0,5,0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,Boston Bruins,Ottawa Senators,2017
/zapas/2526668,Detroit Red Wings,Ottawa Senators,2,1,1,2.0,1.0,0.0,1.0,1.0,2.0,0.0,Detroit Red Wings,Ottawa Senators,2017
/zapas/2526684,Ottawa Senators,San Jose Sharks,6,5,1,2.0,1.0,1.0,2.0,6.0,5.0,1.0,San Jose Sharks,Ottawa Senators,2017
/zapas/2526691,Ottawa Senators,Tampa Bay Lightning,6,3,0,3.0,0.0,1.0,3.0,6.0,3.0,1.0,Tampa Bay Lightning,Ottawa Senators,2017
/zapas/2526710,Ottawa Senators,Chicago Blackhawks,2,8,0,0.0,3.0,1.0,0.0,2.0,8.0,0.0,Chicago Blackhawks,Ottawa Senators,2017
/zapas/2526714,Toronto Maple Leafs,Ottawa Senators,3,4,0,0.0,3.0,0.0,3.0,4.0,3.0,1.0,Toronto Maple Leafs,Ottawa Senators,2017
/zapas/2526754,Ottawa Senators,St. Louis Blues,1,4,0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,St. Louis Blues,Ottawa Senators,2017
/zapas/2526767,Ottawa Senators,Toronto Maple Leafs,3,4,0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,Toronto Maple Leafs,Ottawa Senators,2017
