game_id,team_home,team_away,goals_home,goals_away,OT,points_home,points_away,TOI_home,TOI_points,TOI_goals_scored,TOI_goals_rec,TOI_result,other_team,TOI,season
/zapas/2526058,San Jose Sharks,Philadelphia Flyers,3,5,0,0.0,3.0,1.0,0.0,3.0,5.0,0.0,Philadelphia Flyers,San Jose Sharks,2017
/zapas/2526084,San Jose Sharks,Los Angeles Kings,1,4,0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,Los Angeles Kings,San Jose Sharks,2017
/zapas/2526111,San Jose Sharks,Buffalo Sabres,3,2,0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,Buffalo Sabres,San Jose Sharks,2017
/zapas/2526129,San Jose Sharks,New York Islanders,1,3,0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,New York Islanders,San Jose Sharks,2017
/zapas/2526145,San Jose Sharks,Montreal Canadiens,5,2,0,3.0,0.0,1.0,3.0,5.0,2.0,1.0,Montreal Canadiens,San Jose Sharks,2017
/zapas/2526159,New Jersey Devils,San Jose Sharks,0,3,0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,New Jersey Devils,San Jose Sharks,2017
/zapas/2526171,New York Islanders,San Jose Sharks,5,3,0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,New York Islanders,San Jose Sharks,2017
/zapas/2526178,New York Rangers,San Jose Sharks,1,4,0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,New York Rangers,San Jose Sharks,2017
/zapas/2526193,Boston Bruins,San Jose Sharks,2,1,0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,Boston Bruins,San Jose Sharks,2017
/zapas/2526209,Buffalo Sabres,San Jose Sharks,2,3,0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,Buffalo Sabres,San Jose Sharks,2017
/zapas/2526231,San Jose Sharks,Toronto Maple Leafs,3,2,0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,Toronto Maple Leafs,San Jose Sharks,2017
/zapas/2526239,San Jose Sharks,Nashville Predators,4,1,0,3.0,0.0,1.0,3.0,4.0,1.0,1.0,Nashville Predators,San Jose Sharks,2017
/zapas/2526266,San Jose Sharks,Anaheim Ducks,2,1,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,Anaheim Ducks,San Jose Sharks,2017
/zapas/2526288,San Jose Sharks,Tampa Bay Lightning,1,5,0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,Tampa Bay Lightning,San Jose Sharks,2017
/zapas/2526313,San Jose Sharks,Vancouver Canucks,5,0,0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,Vancouver Canucks,San Jose Sharks,2017
/zapas/2526318,Los Angeles Kings,San Jose Sharks,1,2,0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,Los Angeles Kings,San Jose Sharks,2017
/zapas/2526343,San Jose Sharks,Florida Panthers,0,2,0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,Florida Panthers,San Jose Sharks,2017
/zapas/2526358,San Jose Sharks,Boston Bruins,1,3,0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,Boston Bruins,San Jose Sharks,2017
/zapas/2526369,San Jose Sharks,Anaheim Ducks,2,3,1,1.0,2.0,1.0,1.0,2.0,3.0,0.0,Anaheim Ducks,San Jose Sharks,2017
/zapas/2526385,Arizona Coyotes,San Jose Sharks,1,3,0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,Arizona Coyotes,San Jose Sharks,2017
/zapas/2526401,Vegas Golden Knights,San Jose Sharks,5,4,1,2.0,1.0,0.0,1.0,4.0,5.0,0.0,Vegas Golden Knights,San Jose Sharks,2017
/zapas/2526410,San Jose Sharks,Winnipeg Jets,4,0,0,3.0,0.0,1.0,3.0,4.0,0.0,1.0,Winnipeg Jets,San Jose Sharks,2017
/zapas/2526424,Philadelphia Flyers,San Jose Sharks,1,3,0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,Philadelphia Flyers,San Jose Sharks,2017
/zapas/2526446,Florida Panthers,San Jose Sharks,1,2,0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,Florida Panthers,San Jose Sharks,2017
/zapas/2526454,Tampa Bay Lightning,San Jose Sharks,5,2,0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,Tampa Bay Lightning,San Jose Sharks,2017
/zapas/2526466,Washington Capitals,San Jose Sharks,4,1,0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,Washington Capitals,San Jose Sharks,2017
/zapas/2526492,San Jose Sharks,Carolina Hurricanes,5,4,1,2.0,1.0,1.0,2.0,5.0,4.0,1.0,Carolina Hurricanes,San Jose Sharks,2017
/zapas/2526507,San Jose Sharks,Ottawa Senators,5,0,0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,Ottawa Senators,San Jose Sharks,2017
/zapas/2526513,San Jose Sharks,Minnesota Wild,3,4,1,1.0,2.0,1.0,1.0,3.0,4.0,0.0,Minnesota Wild,San Jose Sharks,2017
/zapas/2526541,Calgary Flames,San Jose Sharks,2,3,0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,Calgary Flames,San Jose Sharks,2017
/zapas/2526549,Vancouver Canucks,San Jose Sharks,4,3,1,2.0,1.0,0.0,1.0,3.0,4.0,0.0,Vancouver Canucks,San Jose Sharks,2017
/zapas/2526569,Edmonton Oilers,San Jose Sharks,5,3,0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,Edmonton Oilers,San Jose Sharks,2017
/zapas/2526592,San Jose Sharks,Vancouver Canucks,5,4,1,2.0,1.0,1.0,2.0,5.0,4.0,1.0,Vancouver Canucks,San Jose Sharks,2017
/zapas/2526611,San Jose Sharks,Los Angeles Kings,2,0,0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,Los Angeles Kings,San Jose Sharks,2017
/zapas/2526629,San Jose Sharks,Calgary Flames,3,2,1,2.0,1.0,1.0,2.0,3.0,2.0,1.0,Calgary Flames,San Jose Sharks,2017
/zapas/2526653,Dallas Stars,San Jose Sharks,6,0,0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,Dallas Stars,San Jose Sharks,2017
/zapas/2526660,Montreal Canadiens,San Jose Sharks,1,4,0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,Montreal Canadiens,San Jose Sharks,2017
/zapas/2526673,Toronto Maple Leafs,San Jose Sharks,3,2,1,2.0,1.0,0.0,1.0,2.0,3.0,0.0,Toronto Maple Leafs,San Jose Sharks,2017
/zapas/2526684,Ottawa Senators,San Jose Sharks,6,5,1,2.0,1.0,0.0,1.0,5.0,6.0,0.0,Ottawa Senators,San Jose Sharks,2017
/zapas/2526699,Winnipeg Jets,San Jose Sharks,4,1,0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,Winnipeg Jets,San Jose Sharks,2017
/zapas/2526732,San Jose Sharks,Arizona Coyotes,6,5,1,2.0,1.0,1.0,2.0,6.0,5.0,1.0,Arizona Coyotes,San Jose Sharks,2017
/zapas/2526739,Los Angeles Kings,San Jose Sharks,1,4,0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,Los Angeles Kings,San Jose Sharks,2017
/zapas/2526746,Arizona Coyotes,San Jose Sharks,2,3,1,1.0,2.0,0.0,2.0,3.0,2.0,1.0,Arizona Coyotes,San Jose Sharks,2017
/zapas/2526757,Colorado Avalanche,San Jose Sharks,5,3,0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,Colorado Avalanche,San Jose Sharks,2017
/zapas/2526769,San Jose Sharks,Pittsburgh Penguins,2,1,0,3.0,0.0,1.0,3.0,2.0,1.0,1.0,Pittsburgh Penguins,San Jose Sharks,2017
/zapas/2526778,Anaheim Ducks,San Jose Sharks,2,6,0,0.0,3.0,0.0,3.0,6.0,2.0,1.0,Anaheim Ducks,San Jose Sharks,2017
/zapas/2526797,San Jose Sharks,Winnipeg Jets,4,5,1,1.0,2.0,1.0,1.0,4.0,5.0,0.0,Winnipeg Jets,San Jose Sharks,2017
/zapas/2526814,San Jose Sharks,New York Rangers,5,6,0,0.0,3.0,1.0,0.0,5.0,6.0,0.0,New York Rangers,San Jose Sharks,2017
/zapas/2526819,Pittsburgh Penguins,San Jose Sharks,5,2,0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,Pittsburgh Penguins,San Jose Sharks,2017
/zapas/2526829,Detroit Red Wings,San Jose Sharks,2,1,1,2.0,1.0,0.0,1.0,1.0,2.0,0.0,Detroit Red Wings,San Jose Sharks,2017
/zapas/2526844,Columbus Blue Jackets,San Jose Sharks,1,3,0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,Columbus Blue Jackets,San Jose Sharks,2017
/zapas/2526861,Carolina Hurricanes,San Jose Sharks,1,3,0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,Carolina Hurricanes,San Jose Sharks,2017
/zapas/2526876,Colorado Avalanche,San Jose Sharks,3,1,0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,Colorado Avalanche,San Jose Sharks,2017
/zapas/2526888,San Jose Sharks,Vegas Golden Knights,3,5,0,0.0,3.0,1.0,0.0,3.0,5.0,0.0,Vegas Golden Knights,San Jose Sharks,2017
/zapas/2526905,San Jose Sharks,Edmonton Oilers,6,4,0,3.0,0.0,1.0,3.0,6.0,4.0,1.0,Edmonton Oilers,San Jose Sharks,2017
/zapas/2526914,Anaheim Ducks,San Jose Sharks,2,3,1,1.0,2.0,0.0,2.0,3.0,2.0,1.0,Anaheim Ducks,San Jose Sharks,2017
/zapas/2526929,San Jose Sharks,Arizona Coyotes,1,2,0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,Arizona Coyotes,San Jose Sharks,2017
/zapas/2526943,San Jose Sharks,Vancouver Canucks,4,1,0,3.0,0.0,1.0,3.0,4.0,1.0,1.0,Vancouver Canucks,San Jose Sharks,2017
/zapas/2526964,San Jose Sharks,Dallas Stars,5,2,0,3.0,0.0,1.0,3.0,5.0,2.0,1.0,Dallas Stars,San Jose Sharks,2017
/zapas/2526977,St. Louis Blues,San Jose Sharks,2,3,0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,St. Louis Blues,San Jose Sharks,2017
/zapas/2526991,Nashville Predators,San Jose Sharks,7,1,0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,Nashville Predators,San Jose Sharks,2017
/zapas/2526998,Chicago Blackhawks,San Jose Sharks,3,1,0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,Chicago Blackhawks,San Jose Sharks,2017
/zapas/2527016,Minnesota Wild,San Jose Sharks,3,2,1,2.0,1.0,0.0,1.0,2.0,3.0,0.0,Minnesota Wild,San Jose Sharks,2017
/zapas/2527031,San Jose Sharks,Edmonton Oilers,5,2,0,3.0,0.0,1.0,3.0,5.0,2.0,1.0,Edmonton Oilers,San Jose Sharks,2017
/zapas/2527044,San Jose Sharks,Chicago Blackhawks,7,2,0,3.0,0.0,1.0,3.0,7.0,2.0,1.0,Chicago Blackhawks,San Jose Sharks,2017
/zapas/2527068,San Jose Sharks,Columbus Blue Jackets,2,4,0,0.0,3.0,1.0,0.0,2.0,4.0,0.0,Columbus Blue Jackets,San Jose Sharks,2017
/zapas/2527097,San Jose Sharks,St. Louis Blues,2,0,0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,St. Louis Blues,San Jose Sharks,2017
/zapas/2527108,San Jose Sharks,Washington Capitals,0,2,0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,Washington Capitals,San Jose Sharks,2017
/zapas/2527124,San Jose Sharks,Detroit Red Wings,5,3,0,3.0,0.0,1.0,3.0,5.0,3.0,1.0,Detroit Red Wings,San Jose Sharks,2017
/zapas/2527134,Edmonton Oilers,San Jose Sharks,3,4,1,1.0,2.0,0.0,2.0,4.0,3.0,1.0,Edmonton Oilers,San Jose Sharks,2017
/zapas/2527149,Calgary Flames,San Jose Sharks,4,7,0,0.0,3.0,0.0,3.0,7.0,4.0,1.0,Calgary Flames,San Jose Sharks,2017
/zapas/2527161,Vancouver Canucks,San Jose Sharks,3,5,0,0.0,3.0,0.0,3.0,5.0,3.0,1.0,Vancouver Canucks,San Jose Sharks,2017
/zapas/2527185,San Jose Sharks,New Jersey Devils,6,2,0,3.0,0.0,1.0,3.0,6.0,2.0,1.0,New Jersey Devils,San Jose Sharks,2017
/zapas/2527199,San Jose Sharks,Vegas Golden Knights,2,1,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,Vegas Golden Knights,San Jose Sharks,2017
/zapas/2527206,San Jose Sharks,Calgary Flames,5,1,0,3.0,0.0,1.0,3.0,5.0,1.0,1.0,Calgary Flames,San Jose Sharks,2017
/zapas/2527228,Chicago Blackhawks,San Jose Sharks,3,4,1,1.0,2.0,0.0,2.0,4.0,3.0,1.0,Chicago Blackhawks,San Jose Sharks,2017
/zapas/2527234,St. Louis Blues,San Jose Sharks,3,2,1,2.0,1.0,0.0,1.0,2.0,3.0,0.0,St. Louis Blues,San Jose Sharks,2017
/zapas/2527248,Nashville Predators,San Jose Sharks,5,3,0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,Nashville Predators,San Jose Sharks,2017
/zapas/2527271,Vegas Golden Knights,San Jose Sharks,3,2,0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,Vegas Golden Knights,San Jose Sharks,2017
/zapas/2527291,San Jose Sharks,Dallas Stars,2,4,0,0.0,3.0,1.0,0.0,2.0,4.0,0.0,Dallas Stars,San Jose Sharks,2017
/zapas/2527306,San Jose Sharks,Colorado Avalanche,4,2,0,3.0,0.0,1.0,3.0,4.0,2.0,1.0,Colorado Avalanche,San Jose Sharks,2017
/zapas/2527325,San Jose Sharks,Minnesota Wild,3,6,0,0.0,3.0,1.0,0.0,3.0,6.0,0.0,Minnesota Wild,San Jose Sharks,2017
/zapas/2647202,San Jose Sharks,Anaheim Ducks,2,5,0,0.0,3.0,1.0,0.0,2.0,5.0,0.0,Anaheim Ducks,San Jose Sharks,2018
/zapas/2647214,Los Angeles Kings,San Jose Sharks,2,3,1,1.0,2.0,0.0,2.0,3.0,2.0,1.0,Los Angeles Kings,San Jose Sharks,2018
/zapas/2647231,New York Islanders,San Jose Sharks,4,0,0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,New York Islanders,San Jose Sharks,2018
